premise,hypothesis,label,original_index
A Street performer is interacting with a young boy while others in the crowd watch.,the street performer practices in his small apartment alone,contradiction,528140
"Two vehicles or trailers going away from the camera in a sandy region, with a driver on each and two people in the back who each appear younger, looking in the direction of one another.",Two vehicles are going away from the camera.,entailment,33833
"Three seated people eating and drinking near trees, with three people standing in the background.",Three people are eating near a tree.,entailment,109887
Two buildings beyond a concrete wall facing a walkway with a woman talking on a cellphone.,A women is on a cellphone.,entailment,7603
Bike racers are starting the race by peddling down the ramp.,Bike racers begin the race.,entailment,536000
Bull rider on a wild kicking bull at the rodeo,a guy on an animal at an event,entailment,13586
Man slumped in front of building,A man is running through the park.,contradiction,428081
A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,A gymnast is on the balance beam.,contradiction,217918
Biker jumping off a ramp in the forest.,A person is taking a walk in the forest.,contradiction,71983
"Man gallops, on a horse, through a flooded creek bed.",The horse is not afraid of walking on water.,neutral,316942
Person carrying a bunch stuff in a shoulder sac walking along a sidewalk.,Someone is sitting down on the sidewalk.,contradiction,286528
Seven jockeys riding horses in a race.,Seven jockeys are sleeping.,contradiction,478377
The motorcyclist has reached the summit.,A person rides a motorcycle.,entailment,3525
A flock of birds fly away with food in their beaks.,Troopers fly swiftly away.,contradiction,274578
a skater grinding down a rail in front of a latin store while three onlookers watch.,A skater in neon green shorts is doing a trick on a rail in front of 3 girls he is trying to impress.,neutral,390156
Kid doing a fair adventure sport.,A kid is playing a sport,entailment,80371
A Shaved man about to put a blue crab in a boiling pot of water.,A man prepares to cook a crab,entailment,479558
dogs running on a cold but sunny morning,Black dogs running on a cold but sunny morning,neutral,108033
Several tables are set up with produce on them.,A bowl of apples and oranges sit on multiple tables.,neutral,386521
The hands of a person pressing a vinyl record.,a person is holding a cd,contradiction,171058
"Man posing, while holding a glass in his hand.",A man is posing with aged scotch in a glass.,neutral,537311
Six little boys stand in front of a fence.,The boys are outside.,entailment,405267
a view of some large snowcapped mountains,A small hill in the distance.,contradiction,104140
An surfer airborne over a wave.,A surfer gets big air,entailment,114749
I'll smash you in the head for what you did to me last night.,I'll punch your face because of last night,neutral,93734
Pigeon staring at a woman in black boots sitting on a park bench reading a paper.,A woman is outside.,entailment,235570
Children riding tricycles on the pavement.,The children are cousins.,neutral,305681
Conversation between two man.,Two women talking about sports.,contradiction,84045
Man sports fishing off a pier on a sunny day.,A woman is singing on a stage.,contradiction,313501
People racing on ATV's in full protective garb,The people in ATV's are all men.,neutral,229708
Toe women sitting on the concrete ledge of a graffiti covered wall.,The toe women are inside sleeping.,contradiction,117200
Shaft of light in a cave shows three spelunkers,A light illuminates three spelunkers.,entailment,28853
a homeless person asking for help,A homeless person begging.,entailment,43023
Even in cooler weather men will get out and play with their model planes.,Even in cool weather men will play with their model planes.,entailment,95205
Family purchasing standing at a vending machine.,The family stands by the machine.,entailment,261976
Someone climbs an indoor climbing wall.,The person is outdoors.,contradiction,516339
Old couple walks through a park.,The couple is holding hands,neutral,493018
Group standing in line to get food.,People wait in a cafeteria line.,neutral,440706
The bird's feet are grasping the window tightly.,The bird is standing on the window.,entailment,267381
I see two men who are skiing in the snow and smiling for the camera.,"Two males are outdoors, surrounded by snow.",entailment,84506
Four motorcycle riders are jumping over a dirt hill in a meadow.,Four people ride motorcycles outside.,entailment,49138
Ladies shopping with umbrellas shielding the sun.,These women are holding umbrellas.,entailment,201711
Swimmer adjusting her goggles,A person is watching a movie in a theater.,contradiction,528927
A traveler sits on a bridge next to his pack.,A traveler sits outdoors on a bridge.,entailment,489651
Airplane emitting heavy red colored smoke.,The plane is malfunctioning.,neutral,380939
Two Tibetan monks walking across the street in a crosswalk.,Monks walking across the street.,entailment,174606
Male tennis player with tattoo on left arm in position to hit the ball with onlooker sitting down.,Nobody in this picture has a tattoo.,contradiction,38766
Little muzzled white dogs are running in the grass.,Several small white dogs with muzzles are running in the grass,entailment,307287
"The drummer, who is wearing white, is laughing.",A drummer laughing at a joke.,neutral,98146
Snowboarder jumps off high ramp over icy landscape.,A snowboarder is on a ramp.,entailment,331306
Firefighters on a scene with 2 trucks and 4 firemen present,Firefighters are determining how to handle a situation together.,neutral,272501
Cop wrestle one man with his hand sticking up in the air as other cops watch.,Cops take down one man.,entailment,39795
Two fire-dancers with minimal clothing put on a show.,People are fire dancing,entailment,320485
"Three seated people eating and drinking near trees, with three people standing in the background.","Six people, three seated and three standing, are drinking together.",entailment,109882
"Runner named Kim, running in the street.",Kim walks to the bus stop over the mountain.,contradiction,18664
A sea of people holding umbrellas on a busy street.,One man is on a deserted street.,contradiction,100569
The speckled dog runs through the marsh.,The chocolate lab runs through a lawn sprinkler.,contradiction,438858
Two tribal people seem to be fighting.,Two people are enjoying each other's company over tea.,contradiction,182504
Guys in a canoe competition race.,Guys in international canoe competition race,neutral,419301
Worker putting on his gloves.,Worker getting ready to work.,entailment,500613
Tons of girls with half their buttocks hanging out dressed in blue silver and gold for some sort of parade.,Women walks around the parade in shiny clothing.,entailment,529312
"A dark-haired, gray-suited man is leaning on a silver pole.",The man is ready to dance,neutral,254361
Protesters in a foreign country being photographed for a news event.,Tall humans protesting,neutral,78865
Male tennis player with tattoo on left arm in position to hit the ball with onlooker sitting down.,Male tennis player prepares to hit the tennis ball.,entailment,38764
A ritual with fire is happening.,fire,neutral,140303
Policeman standing next to his motorcycle.,The policeman is riding the motorcycle.,contradiction,197870
a musician in a white shirt is playing his black violin.,A violinist is working on a composition.,neutral,74296
An abstract sand sculpture on a beach with a woman in the background.,A woman made a sand castle.,neutral,284970
"A men's track meet with eight competitors, every other runner wearing orange.",A men's track meet with eight competitors,entailment,362856
Three handicap bicyclist are racing against each other.,Three dogs are barking at each other.,contradiction,407947
A handicapped man dressed in blue holding the lead in a wheelchair race versus several other paraplegic athletes.,The handicapped man wasn't really handicapped,contradiction,227994
Citizens enjoying a snowy day with reminder of summer in the background.,Citizens play in the sand but remember winter.,contradiction,302070
A Violinist plays as he is decorated as a clown.,A violinist dressed as a clown plays as others look on.,entailment,502345
a military woman is demonstrating how to check someones blood pressure,A women is teaching.,neutral,89819
3 Asian men are playing a game of Mahjong at a table in front of a building with advertisements on it.,Three people playing a game outside a building.,entailment,270841
"Orange cones, a man in a business suit, and workers with a drill and a wheel barrel on the corner of a street.",A man is waiting on his friend.,neutral,306699
Bicycle racer participates in race.,A person driving down the track in his car.,contradiction,82347
Young rock wall climbers brave the massive structure with precision and ease.,The rock climbers are brave.,entailment,531110
Crop worker taking a smoke break.,Worker smoking.,entailment,13601
A casually-dressed man and woman are dancing together in front of a group of people with a brick wall in the background.,The dancers are tap dancing to the moon.,contradiction,382629
An Israeli child is behind the counter at stand that vends nuts and cigarettes.,A boy is selling items .,neutral,275668
The cricketer is swinging a bat in the air.,The cricketer is trying to win the game,neutral,518131
The lake looks very shallow.,It is a shallow lake.,entailment,520504
Five elderly women sitting around watching and elderly man.,There are five men,contradiction,315499
Motorcyclists racing on a track.,People are racing.,entailment,468663
One orange and one blue motorcycle racers leaning into a tight corner of the track.,They are close in the race.,neutral,232006
People watch as a man throws something in the air.,The ball is tossing the man.,contradiction,542140
A myriad array of produce out on display.,There is a wide amount of food on the shelf,entailment,360673
Sparks fly as a man welds steel.,A man is working on repairing a damaged race car.,neutral,308897
A brindle-coated dog is growling at a jumping brown dog with purple collar inside a park enclosure.,the cat sits inside the house,contradiction,463721
Folks on a pier watch as a decorated boat passes.,The boats are passing.,entailment,154464
Two white-skinned and one dark-skinned man are sitting side by side in jeans and black shirts.,The men are sitting together.,entailment,226138
"Graying white man with glasses, uses blacksmith tools.",The graying white man is very old.,neutral,501615
This appears to be a Muslim woman with her legs in a hole.,A female is doing a handstand,contradiction,215283
Protesters in a foreign country being photographed for a news event.,Some humans protesting,entailment,78866
While working a woman makes a peace sign and smiles so big it makes her eyes close.,The working woman is right handed.,neutral,159481
Person holds a flag in the wind while standing in a messy street.,Person is inside a restaurant,contradiction,117327
People tend canoes at the edge of a body of water during a dimly lit time of day.,People are near water,entailment,231333
"Women's Soccer, Blue and white team versus Red and white team, Seems intense.",The soccer game is exciting for the players and fans.,entailment,69751
elderly people sit on the street playing a game.,Elderly people playing a card game outside.,neutral,68975
Man brewing and drinking coffee.,man at auditorium,contradiction,452539
People conversing in a busy restaurant.,The people are talking.,entailment,110370
Ballplayer in blue uniform midair with legs stretched out.,Nobody is stretched out.,contradiction,237546
Dark-skinned man is lying down with his hands folded and a paper laying on him.,The man is laying down outside.,neutral,175934
Two people's hands; one of them is doing the other's nails with an emery board.,Two men are eating dinner,contradiction,300937
Some girls dressed in blue perform a dance.,The girls are part of a dance team.,neutral,132747
Girl headbutting a soccer ball during a game.,A girl is splashing softly in the sink.,contradiction,391695
Two guy's standing in front of a bicycle looking into a plastic bag.,Two men considering purchasing a bicycle,neutral,469595
a puppy is getting dry with a blow dryer,An animal hair is becoming dry.,entailment,401435
A grocer is taking inventory of a colorful display of nuts and other items.,A grocer is taking inventory of pistachios.,neutral,392880
Passersby watch as a person on Roller-blades goes down a large incline.,A person on rollerblades struggles uphill while others watch.,contradiction,393075
Four friends are participating in a parade.,one person sits,contradiction,90773
Young teens are gathered on a porch around a dog on a cool day.,Teens are on a porch.,entailment,363530
its been a long day at work.,The workday involved a few hours of overtime.,neutral,96269
A dazzling array of sparks fly about.,Sparks are flying.,entailment,515359
young man who is just tired of waiting for someone or needs some sleep before he travels on wit his bike.,A truck driver takes a break.,contradiction,326290
Somebody digging in the dirt with a shovel.,person looking for treasure,neutral,450959
Many tourist walk the cobblestone streets in the evening.,The tourists were watchign tv,contradiction,253703
Children run inside a court.,Children are playing.,entailment,159909
Seven climbers are ascending a rock face whilst another man stands holding the rope.,The climbers are going up.,entailment,499094
A distorted picture of two men walking in the street.,Men bungee jumping.,contradiction,284857
Rockers in a band dancing and jumping in their house to music.,People are sitting in a living room in silence,contradiction,57690
Women cleaning store windows.,Men are making windows dirty.,contradiction,424572
A 90-year-old woman blows out the' 9' and' 0' candles on her birthday cake at the dinner table.,A woman is excited about being 90 years old.,neutral,480308
A flautist plays the flute in a marching band,A tuba player is in a marching band.,contradiction,286249
Karate students practicing on a mat.,Students are practicing karate.,entailment,369887
Three quarterbacks warming up before the game.,The game hasn't yet started.,entailment,528352
Asian guy with a red shirt and white shorts serving or attacking a badminton hit.,A man all in black occupies the entire badminton court.,contradiction,28355
Smiling little girl on a carnival ride.,The girl is riding a horse.,contradiction,34486
Woman connected to a bungee harness in the air.,A human is attached to a device and off the ground.,entailment,157498
The BMX rider wearing a black helmet gets air off of a jump.,Someone is jumping.,entailment,140712
four men in dark shirts are on their laptops.,There are people sleeping.,contradiction,358828
"Policemen in riot gear, along with two police on horseback are charging a crowd that are behind a barrier.",The policemen are breaking up a protest.,neutral,245054
Two Men playing drums in front of a crowd of people.,Two men are sitting on a couch watching TV.,contradiction,59790
Demonstrators waiting for the policemen to hear their grievances against police oppression and brutality.,A group gathers with a common purpose.,entailment,126783
"Little girl, upside down on swing.",A girl in pink using a swing set outside.,neutral,360121
"The gutarist upfront is under a spotlight, and the drummer in the back is under one too.",The band is under spotlights.,entailment,19917
A intense looking dog is about to grab a ball in mid bounce.,The ball is yellow.,neutral,358714
Runners running a marathon.,There are people outside.,entailment,148277
A gold dog is on the beach and is looking at the tennis ball in the air.,The man threw the ball for the dog.,neutral,16278
ESPN newsmen practice putting.,The men are challenging each other.,neutral,228404
Boy sitting on a couch staring with a hammer in his hands.,A boy is standing next to a couch holding a hammer.,contradiction,341912
Vendors are selling their wares at an open market.,vendors are selling,entailment,328536
Furniture sits inside of a moving truck with a ramp.,the rock is chasing them,contradiction,190052
Helicopter taking off from airport.,A helicopter just landed.,contradiction,370037
A Hockey game features the white team against the black team.,A Hockey game is being played,entailment,195862
Many bikers are riding through the road during a cloudy day.,Bikers are inside.,contradiction,193284
"Their backs to the camera and under artificial lighting, three men stand at a food counter.",Here we can see three mens' faces clearly.,contradiction,349304
Lady looks into the sky on city sidewalk.,Lady looks into the sky.,entailment,168142
"A hiker, dressed in a hiker's outfit and carrying walking poles, stands on a prairie among patches of snow, rocks and grass.",A hiker standing on a prairie.,entailment,83499
SOmeone in a green shirt is holding money while a man in a baseball cap is holding out his wallet at a function of some sort.,The man holding the money is trying to pay for the purchase he just made.,neutral,102141
Various fruits are available at an outdoor market in what appears to be India.,The market is in India.,neutral,386511
Ashtrays and drinking glasses litter a dimly lit checkerboard.,The aftermath of a checkers torunament.,neutral,314713
The bulls are chasing the runners.,animals chasing some people,entailment,39891
a broen haired woman wearing a black coat with coffee in her hand,A woman just left Starbucks.,neutral,293454
Groom wearing black and gray tux and bride wearing a white dress are being sprinkled with flowers.,Bride and groom are being sprinkled with floweres,entailment,462629
People cross a large bridge to get over the body of water.,Two dogs sit in their kennels.,contradiction,486852
Several medical personnel work in a tent,Several people are inside a tent.,entailment,399867
Mounted policeman on horseback guard the little boys in front of the palace.,guards saves the child in palace.,neutral,54083
Two adult males help a young female with a parasail harness.,A young girl is going parasailing for the first time.,neutral,304673
A Philadelphia Phillie pitcher on the pitchers mound with his left leg up behind him.,The phillies pitcher is going for a complete game against the San Francisco Giants.,neutral,42423
A puzzled construction worker covered in decorative pins adjusts his helmet.,A construction worker covered in pins adjusts his helmet.,entailment,223035
the dashboard of a small plane.,The plane is black.,neutral,153333
Windsurfer in teal top flying on his boogie board.,A windsurfer dressed in teal is on his boogie board.,entailment,80667
2 males walking about on a street corner.,Two people are outside near a road.,entailment,62386
"4 kids playing, one in a red dress one in a pink shirt, one in a white shirt and a little boy with his arm through a green toy.",One child likes green.,neutral,245565
