,label,A,B
0,2,1,1
1,1,0,0
2,0,0,0
3,1,0,0
4,2,1,1
5,0,0,0
6,0,0,0
7,2,1,1
8,1,0,0
9,1,0,0
10,0,0,0
11,2,1,1
12,2,1,1
13,1,0,0
14,0,0,0
15,1,0,0
16,2,1,1
17,0,0,0
18,1,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,2,1,1
23,0,0,0
24,2,1,1
25,1,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,0,0
31,0,0,0
32,2,1,1
33,1,0,0
34,0,0,0
35,2,1,1
36,1,0,0
37,0,0,0
38,2,1,1
39,0,0,0
40,2,1,1
41,2,1,1
42,0,0,0
43,1,0,0
44,2,1,1
45,0,0,0
46,1,0,0
47,2,1,1
48,2,1,1
49,0,0,0
50,1,0,0
51,2,1,1
52,0,0,0
53,1,0,0
54,2,1,1
55,1,0,0
56,0,0,0
57,1,0,0
58,0,0,0
59,2,1,1
60,0,0,0
61,2,1,1
62,1,0,0
63,0,0,0
64,2,1,1
65,1,0,0
66,0,0,0
67,2,1,1
68,0,0,0
69,1,0,0
70,2,1,1
71,0,0,0
72,1,0,0
73,2,1,1
74,0,0,0
75,1,0,0
76,2,1,1
77,2,1,1
78,0,0,0
79,1,0,0
80,2,1,1
81,1,0,0
82,0,0,0
83,0,0,0
84,1,0,0
85,2,1,1
86,1,0,0
87,1,0,0
88,0,0,0
89,2,1,1
90,0,0,0
91,1,0,0
92,2,1,1
93,0,0,0
94,1,0,0
95,1,0,0
96,0,0,0
97,1,0,0
98,2,1,1
99,0,0,0
100,1,0,0
101,2,1,1
102,0,0,0
103,1,0,0
104,1,0,0
105,2,1,1
106,0,0,0
107,2,1,1
108,0,0,0
109,1,0,0
110,1,0,0
111,2,1,1
112,0,0,0
113,0,0,0
114,1,0,0
115,2,1,1
116,1,0,0
117,1,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,1,0,0
122,1,0,0
123,2,1,1
124,0,0,0
125,2,1,1
126,0,0,0
127,1,0,0
128,1,0,0
129,0,0,0
130,2,1,1
131,1,0,0
132,0,0,0
133,2,1,1
134,2,1,1
135,0,0,0
136,2,1,1
137,1,0,0
138,0,0,0
139,2,1,1
140,2,1,1
141,2,1,1
142,2,1,1
143,2,1,1
144,1,0,0
145,0,0,0
146,1,0,0
147,0,0,0
148,1,0,0
149,0,0,0
150,1,0,0
151,2,1,1
152,0,0,0
153,2,1,1
154,1,0,0
