premise,hypothesis,label,o_index,id
the young boys are playing outdoors and the man is smiling nearby,there is no boy playing outdoors and there is no man smiling,contradiction,0,4
a person in a black jacket is doing tricks on a motorbike,a skilled person is riding a bicycle on one wheel,neutral,1,24
four children are doing backbends in the gym,four girls are doing backbends and playing outdoors,neutral,2,105
a player is throwing the ball,two teams are competing in a football match,neutral,3,116
five children are standing in front of a wooden hut,five children are standing in a wooden hut,neutral,4,119
few people are eating at red tables in a restaurant without lights,a large group of asian people is eating at a restaurant,neutral,5,185
someone is on a black and white motorcycle and is standing on the seat,a motorcycle is riding standing up on the seat of the vehicle,neutral,6,197
two dogs are playing by a tree,two dogs are playing by a plant,entailment,7,211
a girl in white is dancing,a girl is wearing white clothes and is dancing,entailment,8,218
there is no girl in white dancing,a girl in white is dancing,contradiction,9,219
the equipment in front of the blond dancing girl is sound,a girl in white is dancing,neutral,10,225
a girl in white is dancing,the blond girl is dancing in front of the sound equipment,neutral,11,228
the children of a family are playing and waiting,an asian man is dancing and three kids are looking,neutral,12,236
a hiker is on top of the mountain and is doing a joyful dance,a hiker is on top of the mountain and is dancing,entailment,13,253
a boy is standing outside the water,the boy is wading through the blue ocean,neutral,14,280
a bald person is playing a guitar,a person has blonde and flyaway hair and is playing a guitar,neutral,15,285
an old topless woman is covered in paint,a young topless woman is covered in paint,neutral,16,304
a group of children in uniforms is standing at a gate and there is no one kissing the mother,a crowd of people is near the water,neutral,17,317
a brown and white dog is running through the tall grass,a brown and white dog is moving through the wild grass,neutral,18,382
a white and tan dog is running through the tall and green grass,a white and tan dog is running through a field,entailment,19,384
a man is sitting near a bike and is writing a note,a man is standing near a bike and is writing on a piece paper,neutral,20,394
a group of scouts are hiking through the grass,a group of explorers are walking through the grass,neutral,21,402
two men are taking a break from a trip on a snowy road,two men with cars are on the side of a snowy road,neutral,22,417
a lady is surfing and riding a wave,a blond girl is looking at the waves,neutral,23,450
the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,pink bellbottoms and a pink scarf arent to be worn by women with silver pants or bike riding people,neutral,24,520
the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,a pedestrian woman is building pink bicycles for boa wearing riders,neutral,25,526
a biker is wearing gear which is black,a biker wearing black is breaking the gears,neutral,26,530
a woman is taking off a cloak which is very large and revealing an extravagant dress,a woman is putting on a cloak which is very large and concealing an extravagant dress,contradiction,27,592
a boy is climbing up a wall artificially built for climbing and is attached to a rope,a little boy who looks fearful is on a climbing wall,neutral,28,619
a man isnt tossing a kid into the swimming pool that is near the ocean,the man is tossing a kid into the swimming pool that is near the ocean,contradiction,29,630
one man is climbing a cliff with a rope,a person with pink climbing gear roped the rock,neutral,30,647
a person is climbing a rock with a rope which is pink,one man is climbing a cliff with a rope,neutral,31,651
one white dog is staring at the black street,two dogs of different breeds are looking at each other across a street,neutral,32,687
a dog which is furry and black is in a back yard and is carrying a basket in its mouth,a dog next to a tree which is probably a pine is biting a bucket,neutral,33,698
a few men in a competition are running outside,a few men in a competition are running indoors,contradiction,34,717
a few men in a competition are running outside,a few men are running competitions outside,neutral,35,718
the kid is happily sliding in the snow,a boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,neutral,36,765
a woman who is old is near a white dog,a woman and a dog are sitting on a tree stump,neutral,37,780
a group of people is equipped with protective gear,a group of people is equipped with gear used for protection,entailment,38,816
one white dog and one black one are running side by side on the grass,a dog which has a black coat and a white dog are running on the grass,entailment,39,860
not a lot of people are in an ice skating park,an ice skating rink placed outdoors is full of people,neutral,40,873
the girl in the blue and white uniform is cheering,the girl is cheering the man in the blue and white uniform,neutral,41,882
a woman is being kissed by a man,there is no woman being kissed by a man,contradiction,42,913
the girl in the red shirt is blowing a bubble,the young girl is blowing a bubble that is huge,neutral,43,933
some corndogs are being eaten by two toddlers who are in a wagon which is really small,two toddlers are eating corndogs in a wagon which is really small,entailment,44,947
a man is getting on a horse on a track laid in the wild,a horse is tossing the cowboy wearing pants of blue and red color,neutral,45,980
an adult is in the amphitheater and is talking to a boy,there is no adult in the amphitheater talking to a boy,contradiction,46,987
a talk about an adult and a boy is given in the amphitheater,an adult is in the amphitheater and is talking to a boy,neutral,47,988
the snowboarder isnt leaping over white snow,a person who is practicing snowboarding jumps into the air,neutral,48,1039
a woman is riding a horse,a man is opening a small package that contains headphones,neutral,49,1102
a fish is hunting for a turtle in the sea,the turtle is following the fish,neutral,50,1137
a potato is being sliced by a woman,a woman is slicing a carrot,neutral,51,1170
a woman is combing her hair,a woman is arranging her hair,neutral,52,1177
a woman is combing her hair,there is no woman combing her hair,contradiction,53,1178
a man and a woman are hiking through a wooded area,a man and a woman are walking together through the woods,entailment,54,1190
a man and a woman are walking together through the woods,a man and a woman are walking through a wooded area,entailment,55,1192
a man is slicing a bun,a man is slicing a tomato,neutral,56,1232
a woman is dancing and singing alone,a woman is dancing and singing with other women,contradiction,57,1236
some women are dancing and singing,a woman is dancing and singing in the rain,neutral,58,1237
a woman is dancing and singing with other women,a woman is dancing and singing in the rain,neutral,59,1241
a band is playing on a stage,a band is playing onstage,entailment,60,1266
a man is playing flute,a man is playing a game with a ball,neutral,61,1302
the woman is measuring the other woman,a woman is being measured by another woman,entailment,62,1333
a person is standing near a motorcycle,a person is chopping an onion,neutral,63,1390
a man is screaming,a man is scared,neutral,64,1396
a sad man is crying,a man is screaming,neutral,65,1400
a woman is cutting shrimps,a man is chopping butter into a small container,neutral,66,1410
men are sawing logs,men are cutting wood,entailment,67,1412
a man is talking on the radio,a man is spitting,neutral,68,1443
three young men are running jumping and kicking near a vending machine,there is no man running jumping and kicking near a vending machine,contradiction,69,1469
three men are jumping off a wall,three young men are furiously running jumping and kicking near a vending machine,neutral,70,1470
the man is not stirring the sauce for the chicken,the man is stirring the sauce for the chicken,contradiction,71,1487
a man is playing an electric guitar,a man is playing guitar,entailment,72,1493
a man is playing a guitar,a man is strumming a guitar,entailment,73,1495
three boys in karate costumes arent fighting,three boys in karate costumes are fighting,contradiction,74,1503
three men are practicing karate outdoors,three boys in karate costumes are fighting,neutral,75,1506
a woman is planting some flowers,a woman is cutting broccoli,neutral,76,1525
a hole is being burrowed by the badger,a badger is shrewdly digging the earth,entailment,77,1584
a snake is being fed a mouse by a man,no snake is being fed a mouse by a man,contradiction,78,1608
some ingredients are being mixed in a bowl by a person,some ingredients are being separated in a bowl by a person,neutral,79,1628
a boat is sailing peacefully over the water,the guitar is being played by the man,neutral,80,1676
the milk is being drunk by a cat,the cat is drinking some milk,entailment,81,1690
a man is emptying a container made of plastic completely,a man is emptying a container made of plastic,entailment,82,1703
a man is emptying a container made of plastic,a man is carelessly holding a frog,neutral,83,1711
a flute is being played in a lovely way by a girl,a flute is being played by a girl,entailment,84,1754
the adult is playing the guitar loudly,a flute is being played by a man,neutral,85,1807
a man is playing the guitar loudly,a flute isnt being played by a man,neutral,86,1811
the girl who is little is carefully combing her hair into a pony tail,the girl who is little is combing her hair into a pony tail,entailment,87,1839
one man is sitting on the chair,the girl who is little is ruffling her hair,neutral,88,1847
the microphone in front of the talking parrot is being muted,the parrot is talking into the microphone,neutral,89,1861
the kittens on the trays are being eaten as food for an advertisement,the food on the trays is being eaten by the kittens,neutral,90,1877
the food on the trays is being eaten by the kittens,a few kittens are eating,entailment,91,1881
one person is playing the guitar and singing,a person is playing a guitar and singing,entailment,92,1964
the horse is being ridden by a man,a man is riding the horse,entailment,93,2001
a man is dangerously throwing knives at a tree,some dangerous men with knives are throwing a bike against a tree,neutral,94,2019
a lady is cutting up some meat precisely,some meat is being cut into pieces by a woman,entailment,95,2058
the man is denying an interview,the man is granting an interview,contradiction,96,2089
the man is granting an interview,a mans white car is being driven away,neutral,97,2096
a small boy is scolding a dog,a small boy is playing with a dog,neutral,98,2130
the picture of a camera set up is being taken by a man on the beach at the sunset,a man is taking pictures of a lake,neutral,99,2157
a woman is sewing with a machine,a woman is using a machine made for sewing,entailment,100,2166
someone is falling off a horse,the man is not knocked off of a horse,neutral,101,2221
a woman is tapping her fingers on a table,a woman is resting her fingers on a table,neutral,102,2229
a woman is tapping her fingers,a woman is resting her fingers on a table,neutral,103,2231
the cat is playing passionately with a watermelon,the cat is playing with a watermelon,entailment,104,2284
the cat is playing passionately with a watermelon,a cat is playing with a watermelon,entailment,105,2286
a person is burning some cameras with a blow torch,the tall person is setting fire to the cameras,neutral,106,2362
some cameras are being burned by a person with a blow torch,the person is setting fire to the cameras,entailment,107,2364
a person by some cameras is blowing on a burning torch,the person is setting fire to the cameras,neutral,108,2366
a person is cutting an onion into pieces,a person is slicing a carrot into pieces,neutral,109,2385
the man is not slicing the potato,the man is slicing a potato,contradiction,110,2392
someone is cutting a tomato,the woman is holding a whole tomato,neutral,111,2402
the lady is slicing a tomato,there is no one cutting a tomato,contradiction,112,2404
the lady is slicing a tomato,someone is cutting a tomato,entailment,113,2405
a man is preparing some dish,an onion is being sliced with a knife by the woman,neutral,114,2410
one man is running down the road,a man is running,entailment,115,2430
some people are singing,a group of people is singing,entailment,116,2476
the man is playing a guitar,a man is playing a trumpet,neutral,117,2485
a few people are floating on a raft,people are riding and paddling a raft,neutral,118,2525
people are riding and paddling a raft,four people are floating on a raft,neutral,119,2527
there is no cat eating corn on the cob,a cat is eating some corn,neutral,120,2535
the person is slicing a vegetable,nobody is slicing a tomato,neutral,121,2544
someone is strumming the guitar,someone is playing the guitar,entailment,122,2557
three women are dancing,a few women are dancing,entailment,123,2566
a bull dog is being brushed by the monkey,the monkey is brushing a bull dog,entailment,124,2604
the monkey is brushing a bull dog,a bull dog is brushing the monkey,neutral,125,2606
the lady isnt cracking an egg for the mixer,the lady is slicing up the meat,neutral,126,2662
a few ferrets are climbing out of the cage,ferrets are climbing down from a shelf,neutral,127,2668
a man is hurriedly getting into a car in a garage,a man is getting into a car,entailment,128,2678
a man is parking a car in a garage,a man is getting into a car,neutral,129,2679
the person is slicing a clove of garlic into pieces,the person is not slicing a clove of garlic into pieces,contradiction,130,2687
noodles are being boiled in water by a woman,a woman is boiling noodles in water,entailment,131,2704
there is no karate practitioner kicking at another man who is wearing protective boxing gloves,a karate practitioner is kicking at another man who is wearing protective boxing gloves,contradiction,132,2712
the man is kick boxing with a trainer,there is no karate practitioner kicking at another man who is wearing protective boxing gloves,neutral,133,2720
the man is kick boxing with a trainer,a karate practitioner is kicking at another man who is wearing protective boxing gloves,neutral,134,2721
a woman who is seated is singing a song and playing the guitar,a seated woman is singing a song and playing the guitar,entailment,135,2722
a woman on a rock is lying on a blanket and reading a book,a woman is rocking over a blanket lying on someone reading a book,neutral,136,2726
the woman is not playing an electric guitar,a man is playing an acoustic guitar,neutral,137,2738
a man and woman are talking,a man and a woman are eating happily,neutral,138,2766
a person is pouring oil for cooking into a pot,a person is pouring cooking oil into a pot,entailment,139,2772
a guinea pig which is small is gnawing and eating a piece of carrot on the floor,a small guinea pig is gnawing and eating a piece of carrot on the floor,entailment,140,2791
a small guinea pig is gnawing and eating a piece of carrot on the floor,a guinea pig is devouring a carrot,entailment,141,2795
a plane is landing,an animated airplane is taking off,neutral,142,2812
a woman is taking a mixture out of a bowl,a woman is preparing an egg in a skillet,neutral,143,2822
the lady is penciling on eyeshadow,the woman is penciling on eyeshadow,entailment,144,2829
a little girl is playing a grand piano on stage,a girl is practicing the piano,neutral,145,2842
a woman is playing a flute,the woman is not playing the flute,contradiction,146,2886
the man is lifting barbells,the man is lifting weights,entailment,147,2898
a woman is putting on makeup,there is no woman putting on makeup,contradiction,148,2911
the woman is cutting a carrot,an onion is being sliced by a woman,neutral,149,2932
two men are fighting in a cattle pen,two men are outside a cattle pen,neutral,150,2936
a big green ball is missing a potato,a big green ball is knocking a potato,neutral,151,2965
a large green ball is hitting a potato,a large green colored ball is hitting a potato,entailment,152,2967
a large green ball is missing a potato,a large green ball is hitting a potato,neutral,153,2968
a large green ball is hitting a potato,a big green ball is missing a potato,contradiction,154,2972
a man is playing a guitar,a man is laying down a guitar,neutral,155,2996
a woman is playing an electric guitar,a man is laying down a guitar,neutral,156,3002
the puppy is not playing with a plastic container,the puppy is playing with a plastic container,contradiction,157,3036
a woman is driving a car and is talking to the man who is seated beside her,there is no woman driving a car and talking to the man seated beside her,contradiction,158,3061
a man is flooring a sitting guitar player,a man is sitting on the floor in a room and strumming a guitar,neutral,159,3107
a woman is using a pencil for eyes and is applying eye liner to her eyelid,a woman is applying cosmetics to her eyelid,entailment,160,3122
there is no woman using an eye pencil and applying eye liner to her eyelid,a woman is applying cosmetics to her eyelid,contradiction,161,3123
a monkey is kicking at a persons glove,the monkey is practicing martial arts,neutral,162,3143
