premise,hypothesis,label
A person in a black jacket is doing tricks on a motorbike.,A skilled person is riding a bicycle on one wheel.,neutral
Four children are doing backbends in the gym.,Four girls are doing backbends and playing outdoors.,neutral
A player is throwing the ball.,Two teams are competing in a football match.,neutral
Five children are standing in front of a wooden hut.,Five children are standing in a wooden hut.,neutral
Few people are eating at red tables in a restaurant without lights.,A large group of Asian people is eating at a restaurant.,neutral
Someone is on a black and white motorcycle and is standing on the seat.,A motorcycle is riding standing up on the seat of the vehicle.,neutral
Two dogs are playing by a tree.,Two dogs are playing by a plant.,entailment
A girl in white is dancing.,A girl is wearing white clothes and is dancing.,entailment
There is no girl in white dancing.,A girl in white is dancing.,contradiction
The equipment in front of the blond dancing girl is sound.,A girl in white is dancing.,neutral
A girl in white is dancing.,The blond girl is dancing in front of the sound equipment.,neutral
The children of a family are playing and waiting.,An Asian man is dancing and three kids are looking.,neutral
A hiker is on top of the mountain and is doing a joyful dance.,A hiker is on top of the mountain and is dancing.,entailment
A boy is standing outside the water.,The boy is wading through the blue ocean.,neutral
A bald person is playing a guitar.,A person has blonde and flyaway hair and is playing a guitar.,neutral
"An old, topless woman is covered in paint.","A young, topless woman is covered in paint.",neutral
A group of children in uniforms is standing at a gate and there is no one kissing the mother.,A crowd of people is near the water.,neutral
A brown and white dog is running through the tall grass.,A brown and white dog is moving through the wild grass.,neutral
A white and tan dog is running through the tall and green grass.,A white and tan dog is running through a field.,entailment
A man is sitting near a bike and is writing a note.,A man is standing near a bike and is writing on a piece paper.,neutral
A group of scouts are hiking through the grass.,A group of explorers are walking through the grass.,neutral
Two men are taking a break from a trip on a snowy road.,Two men with cars are on the side of a snowy road.,neutral
A lady is surfing and riding a wave.,A blond girl is looking at the waves.,neutral
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike.",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.,neutral
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike.",A pedestrian woman is building pink bicycles for boa wearing riders.,neutral
A biker is wearing gear which is black.,A biker wearing black is breaking the gears.,neutral
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress.","A woman is putting on a cloak, which is very large, and concealing an extravagant dress.",contradiction
A boy is climbing up a wall artificially built for climbing and is attached to a rope.,"A little boy, who looks fearful, is on a climbing wall.",neutral
A man isn't tossing a kid into the swimming pool that is near the ocean.,The man is tossing a kid into the swimming pool that is near the ocean.,contradiction
One man is climbing a cliff with a rope.,A person with pink climbing gear roped the rock.,neutral
"A person is climbing a rock with a rope, which is pink.",One man is climbing a cliff with a rope.,neutral
One white dog is staring at the black street.,Two dogs of different breeds are looking at each other across a street.,neutral
A dog which is furry and black is in a back yard and is carrying a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket.",neutral
A few men in a competition are running outside.,A few men in a competition are running indoors.,contradiction
A few men in a competition are running outside.,A few men are running competitions outside.,neutral
The kid is happily sliding in the snow.,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees.,neutral
"A woman, who is old, is near a white dog.",A woman and a dog are sitting on a tree stump.,neutral
A group of people is equipped with protective gear.,A group of people is equipped with gear used for protection.,entailment
One white dog and one black one are running side by side on the grass.,"A dog, which has a black coat, and a white dog are running on the grass.",entailment
Not a lot of people are in an ice skating park.,An ice skating rink placed outdoors is full of people.,neutral
The girl in the blue and white uniform is cheering.,The girl is cheering the man in the blue and white uniform.,neutral
