,label,A,B
0,2,1,1
1,1,1,1
2,0,1,1
3,1,1,1
4,2,1,1
5,0,0,1
6,0,1,1
7,2,1,1
8,1,1,1
9,1,1,1
10,0,1,1
11,2,1,1
12,2,1,1
13,1,1,1
14,0,1,1
15,1,1,1
16,2,1,1
17,0,1,1
18,1,1,1
19,0,1,1
20,0,1,1
21,1,1,1
22,2,1,1
23,0,1,1
24,2,0,0
25,1,1,1
26,0,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,1,1,1
31,0,0,0
32,2,1,1
33,1,1,1
34,0,1,1
35,2,1,1
36,1,1,1
37,0,0,0
38,2,1,1
39,0,1,1
40,2,0,0
41,2,0,0
42,0,1,1
43,1,1,1
44,2,1,1
45,0,1,1
46,1,1,1
47,2,1,1
48,2,1,1
49,0,1,1
50,1,1,1
51,2,1,1
52,0,1,1
53,1,1,1
54,2,1,1
55,1,1,1
56,0,1,1
57,1,1,1
58,0,0,0
59,2,1,1
60,0,1,1
61,2,0,0
62,1,1,0
63,0,1,1
64,2,1,1
65,1,1,1
66,0,1,1
67,2,1,1
68,0,0,1
69,1,1,1
70,2,1,1
71,0,1,1
72,1,1,1
73,2,1,1
74,0,1,1
75,1,1,1
76,2,1,1
77,2,0,1
78,0,1,1
79,1,1,1
80,2,1,1
81,1,1,1
82,0,1,1
83,0,1,1
84,1,1,1
85,2,1,1
86,1,1,1
87,1,1,1
88,0,1,1
89,2,1,0
90,0,1,1
91,1,1,1
92,2,1,1
93,0,1,1
94,1,1,1
95,1,1,1
96,0,1,0
97,1,1,1
98,2,1,1
99,0,1,1
100,1,1,1
101,2,1,1
102,0,1,1
103,1,1,1
104,1,1,1
105,2,1,1
106,0,1,1
107,2,1,1
108,0,1,1
109,1,1,1
110,1,1,1
111,2,1,1
112,0,1,0
113,0,1,1
114,1,1,1
115,2,1,1
116,1,1,1
117,1,1,1
118,0,1,1
119,0,1,1
120,0,1,1
121,1,1,1
122,1,1,1
123,2,0,0
124,0,0,0
125,2,1,1
126,0,1,1
127,1,0,0
128,1,1,1
129,0,1,1
130,2,0,0
131,1,1,1
132,0,1,1
133,2,0,0
134,2,1,1
135,0,0,0
136,2,0,0
137,1,1,1
138,0,1,1
139,2,1,1
140,2,0,0
141,2,1,1
142,2,0,0
143,2,1,1
144,1,1,0
145,0,1,1
146,1,1,1
147,0,1,1
148,1,1,1
149,0,1,1
150,1,1,1
151,2,0,0
152,0,1,1
153,2,0,0
154,1,1,1
155,2,0,0
156,2,1,1
157,1,1,1
158,0,1,1
159,1,1,1
160,2,1,1
161,2,1,1
162,1,1,1
163,0,1,1
164,2,1,1
165,1,1,1
166,0,1,1
167,2,1,1
168,1,1,1
169,0,1,1
170,2,1,1
171,0,1,1
172,1,1,1
173,0,1,1
174,2,0,0
175,1,1,1
176,1,1,1
177,2,1,1
178,0,1,1
179,0,1,1
180,2,1,1
181,1,1,1
182,0,1,1
183,1,1,0
184,2,1,1
185,0,1,1
186,2,0,0
187,1,1,1
188,0,1,1
189,2,1,1
190,1,0,0
191,1,1,0
192,2,1,1
193,0,1,1
194,0,1,1
195,1,0,0
196,2,0,0
197,0,1,1
198,1,1,1
199,0,0,0
200,2,1,1
201,0,1,1
202,0,1,1
203,1,1,1
204,2,0,1
205,0,1,1
206,1,1,1
207,2,1,1
208,0,1,1
209,2,1,1
210,1,1,1
211,0,1,1
212,2,0,0
213,2,1,1
214,0,1,1
215,2,0,0
216,1,1,1
217,2,0,0
218,2,1,1
219,1,1,1
220,2,1,1
221,0,1,1
222,1,1,1
223,2,1,1
224,0,1,1
225,0,1,1
226,2,0,0
227,1,1,1
228,1,1,1
229,2,1,1
230,0,1,1
231,0,0,0
232,1,0,0
233,0,1,1
234,2,0,0
235,2,0,0
236,0,1,1
237,0,1,1
238,1,1,1
239,2,1,1
240,2,0,0
241,0,1,1
242,1,1,1
243,0,1,1
244,1,1,1
245,2,1,1
246,1,1,1
247,1,0,0
248,0,1,1
249,2,1,1
250,0,1,1
251,1,1,1
252,0,1,1
253,2,0,0
254,2,1,0
255,0,1,1
256,2,1,1
257,1,1,1
258,2,0,0
259,1,1,1
260,0,1,1
261,1,1,1
262,1,1,1
263,0,1,1
264,2,1,1
265,0,1,1
266,1,1,1
267,1,1,0
268,0,1,1
269,1,0,0
270,0,1,1
271,1,1,1
272,2,1,0
273,2,0,0
274,1,1,1
275,0,1,1
276,1,1,0
277,2,1,1
278,0,1,1
279,2,1,1
280,0,0,1
281,2,1,1
282,1,1,1
283,0,1,1
284,1,1,1
285,0,1,1
286,2,1,1
287,1,1,1
288,2,1,0
289,0,1,1
290,1,0,0
291,0,1,1
292,2,1,1
293,1,1,1
294,2,1,1
295,0,1,1
296,1,1,1
297,2,1,1
298,0,1,1
299,0,1,1
300,1,1,0
301,0,0,0
302,2,1,1
303,1,1,1
304,0,1,1
305,0,1,1
306,2,1,1
307,1,1,1
308,2,0,0
309,0,1,1
310,1,1,1
311,2,1,0
312,0,1,1
313,1,1,0
314,1,1,1
315,0,0,0
316,2,0,1
317,2,1,1
318,0,1,1
319,1,1,1
320,1,1,1
321,2,1,1
322,0,1,1
323,1,1,1
324,2,1,1
325,0,1,1
326,2,1,1
327,1,1,1
328,0,1,1
329,2,0,0
330,1,1,1
331,0,1,1
332,2,1,1
333,2,1,1
334,1,1,1
335,0,1,1
336,2,1,1
337,2,1,1
338,1,1,1
339,0,1,1
340,2,1,1
341,1,1,1
342,0,1,1
343,1,0,0
344,0,1,1
345,2,1,1
346,1,1,1
347,2,1,1
348,0,1,1
349,1,0,0
350,1,0,1
351,0,1,1
352,0,1,1
353,1,1,1
354,1,1,1
355,1,1,0
356,2,1,1
357,2,0,0
358,2,0,0
359,0,1,1
360,2,1,1
361,1,1,1
362,2,1,1
363,0,1,1
364,1,1,1
365,2,1,1
366,0,1,1
367,0,1,1
368,0,1,1
369,2,0,0
370,1,1,1
371,1,1,1
372,0,1,1
373,2,0,0
374,2,0,0
375,1,1,1
376,0,1,1
377,2,1,1
378,1,1,1
379,0,1,1
380,0,0,1
381,2,1,1
382,1,1,1
383,1,1,1
384,2,1,1
385,0,1,1
386,0,1,1
387,2,1,1
388,1,1,1
389,0,1,1
390,2,1,1
391,1,1,1
392,1,0,0
393,0,1,1
394,2,1,0
395,0,1,1
396,2,1,1
397,1,1,1
398,0,1,1
399,2,1,0
400,1,1,1
401,2,1,1
402,0,1,1
403,1,1,1
404,1,1,1
405,0,1,1
406,2,1,1
407,0,1,1
408,2,0,0
409,1,1,0
410,0,1,1
411,1,1,1
412,2,1,1
413,0,1,1
414,1,1,1
415,2,1,1
416,1,1,1
417,0,1,1
418,2,1,1
419,1,1,0
420,0,1,1
421,2,1,1
422,2,1,1
423,0,1,1
424,1,1,1
425,0,0,0
426,1,1,1
427,1,0,0
428,0,1,1
429,1,1,1
430,0,1,1
431,2,1,1
432,1,1,1
433,2,1,1
434,0,1,1
435,1,1,1
436,0,1,1
437,2,1,1
438,2,0,0
439,0,1,1
440,1,1,1
441,0,1,1
442,2,0,1
443,1,1,1
444,1,1,1
445,0,1,1
446,0,0,0
447,1,1,1
448,2,1,1
449,0,1,1
450,1,1,1
451,2,1,1
452,1,1,1
453,0,1,1
454,2,1,1
455,1,1,0
456,1,1,1
457,0,1,1
458,0,1,1
459,2,1,1
460,1,1,0
461,2,1,1
462,1,1,1
463,0,1,1
464,0,1,1
465,1,1,1
466,2,1,1
467,2,1,1
468,0,1,1
469,1,1,1
470,1,0,1
471,0,1,1
472,1,1,1
473,0,1,1
474,1,1,1
475,2,0,0
476,1,1,1
477,2,1,1
478,0,1,1
479,0,1,1
480,1,1,1
481,1,0,0
482,0,1,1
483,2,1,1
484,1,1,0
485,2,1,1
486,1,0,0
487,0,1,1
488,1,1,1
489,0,0,0
490,2,1,1
491,0,1,1
492,2,0,0
493,1,1,1
494,1,1,1
495,2,1,1
496,0,1,1
497,0,1,1
498,1,0,0
499,1,1,1
500,0,1,1
501,1,1,1
502,2,0,0
503,0,1,1
504,2,1,1
505,1,1,1
506,0,1,1
507,1,1,1
508,2,1,1
509,0,1,1
510,2,1,1
511,1,1,1
512,2,0,1
513,2,1,1
514,1,1,1
515,1,1,1
516,2,1,1
517,0,1,1
518,1,1,1
519,2,1,1
520,0,1,1
521,1,1,0
522,2,1,0
523,0,0,1
524,2,1,1
525,1,1,1
526,1,1,1
527,0,1,1
528,2,1,1
529,1,1,1
530,0,1,1
531,2,1,1
532,1,1,1
533,0,1,1
534,2,1,1
535,1,1,1
536,2,1,1
537,0,1,1
538,0,1,1
539,2,1,1
540,1,1,1
541,2,1,1
542,1,1,1
543,0,1,1
544,2,1,1
545,0,1,1
546,1,1,1
547,1,1,1
548,0,0,0
549,2,0,0
550,2,1,0
551,2,1,1
552,0,1,1
553,0,1,1
554,2,0,0
