,label,A,B
0,0,1,1
1,1,0,0
2,-1,1,1
3,1,0,0
4,0,0,1
5,-1,0,0
6,-1,0,1
7,0,1,1
8,1,0,0
9,1,1,1
10,-1,1,1
11,0,0,0
12,0,0,0
13,1,1,1
14,-1,0,0
15,1,0,0
16,0,1,1
17,-1,0,0
18,1,0,0
19,-1,1,1
20,-1,0,0
21,1,1,1
22,0,0,0
23,-1,0,0
24,0,0,0
25,1,1,1
26,-1,0,0
27,-1,0,0
28,-1,0,0
29,-1,0,0
30,1,0,0
31,-1,0,0
32,0,1,1
33,1,0,1
34,-1,1,1
35,0,1,1
36,1,1,1
37,-1,0,0
38,0,0,0
39,-1,0,0
40,0,0,0
41,0,1,1
42,-1,0,0
43,1,1,1
44,0,0,0
45,-1,1,1
46,1,1,1
47,0,0,0
48,0,1,1
49,-1,0,0
50,1,1,1
51,0,0,0
52,-1,0,0
53,1,1,1
54,0,1,1
55,1,0,0
56,-1,0,0
57,1,0,0
58,-1,0,0
59,0,1,1
60,-1,1,1
61,0,1,1
62,1,0,0
63,-1,0,0
64,0,1,1
65,1,0,0
66,-1,1,1
67,0,1,1
68,-1,0,0
69,1,0,0
70,0,1,1
71,-1,1,1
72,1,1,1
73,0,1,1
74,-1,1,1
75,1,0,0
76,0,0,0
77,0,0,0
78,-1,0,0
79,1,1,0
80,0,0,0
81,1,0,0
82,-1,1,1
83,-1,1,1
84,1,0,0
85,0,1,1
86,1,0,0
87,1,0,0
88,-1,1,1
89,0,1,1
90,-1,0,1
91,1,1,1
92,0,0,1
93,-1,1,0
94,1,1,1
95,1,0,1
96,-1,0,0
97,1,1,1
98,0,1,1
99,-1,1,1
100,1,0,0
101,0,0,0
102,-1,0,0
103,1,1,1
104,1,1,1
105,0,1,1
106,-1,1,1
107,0,1,1
108,-1,1,1
109,1,1,1
110,1,1,1
111,0,1,1
112,-1,0,0
113,-1,1,1
114,1,1,0
115,0,0,0
116,1,0,0
117,1,0,0
118,-1,1,1
119,-1,0,0
120,-1,1,1
121,1,0,0
122,1,0,0
123,0,0,0
124,-1,1,1
125,0,1,1
126,-1,1,1
127,1,0,0
128,1,0,0
129,-1,0,0
130,0,0,0
131,1,1,1
132,-1,0,0
133,0,0,0
134,0,1,1
135,-1,0,0
136,0,0,0
137,1,1,1
138,-1,1,1
139,0,0,0
140,0,1,1
141,0,1,1
142,0,1,1
143,0,1,1
144,1,0,0
145,-1,1,1
146,1,1,1
147,-1,0,0
148,1,0,1
149,-1,1,1
150,1,1,1
151,0,0,0
152,-1,1,1
153,0,0,0
154,1,0,1
155,0,0,0
156,0,1,1
157,1,1,1
158,-1,1,1
159,1,1,1
160,0,1,1
161,0,0,0
162,1,1,1
163,-1,1,1
164,0,1,1
165,1,1,1
166,-1,0,0
167,0,0,0
168,1,0,0
169,-1,1,1
170,0,0,0
171,-1,1,1
172,1,1,1
173,-1,1,1
174,0,0,0
175,1,0,0
176,1,1,1
177,0,1,1
178,-1,1,1
179,-1,1,1
180,0,0,0
181,1,1,1
182,-1,0,0
183,1,1,1
184,0,0,1
185,-1,0,0
186,0,1,1
187,1,0,0
188,-1,1,1
189,0,1,1
190,1,0,0
191,1,0,0
192,0,1,1
193,-1,1,1
194,-1,1,1
195,1,1,1
196,0,0,0
197,-1,1,1
198,1,1,1
199,-1,1,1
200,0,1,1
201,-1,1,1
202,-1,0,0
203,1,1,1
204,0,1,1
205,-1,1,1
206,1,1,1
207,0,1,1
208,-1,1,1
209,0,1,1
210,1,0,0
211,-1,0,0
212,0,0,0
213,0,1,1
214,-1,1,1
215,0,0,0
216,1,1,1
217,0,0,0
218,0,1,1
219,1,1,1
220,0,1,1
221,-1,1,1
222,1,1,1
223,0,0,0
224,-1,1,1
225,-1,0,0
226,0,1,1
227,1,0,0
228,1,1,1
229,0,0,0
230,-1,0,0
231,-1,0,0
232,1,0,0
233,-1,1,1
234,0,1,1
235,0,1,1
236,-1,0,0
237,-1,1,1
238,1,0,0
239,0,0,0
240,0,0,1
241,-1,1,1
242,1,0,0
243,-1,0,0
244,1,1,1
245,0,1,1
246,1,1,1
247,1,1,1
248,-1,1,1
249,0,1,1
250,-1,0,1
251,1,0,0
252,-1,1,1
253,0,0,0
254,0,1,1
255,-1,1,1
256,0,0,0
257,1,1,1
258,0,1,1
259,1,1,1
260,-1,1,1
261,1,1,1
262,1,1,1
263,-1,1,1
264,0,1,1
265,-1,1,1
266,1,0,0
267,1,0,0
268,-1,0,0
269,1,0,0
270,-1,1,1
271,1,0,0
272,0,0,0
273,0,0,0
274,1,0,0
275,-1,0,0
276,1,1,1
277,0,1,1
278,-1,1,1
279,0,1,1
280,-1,0,0
281,0,1,1
282,1,0,0
283,-1,1,1
284,1,1,1
285,-1,0,0
286,0,1,0
287,1,1,1
288,0,1,1
289,-1,1,1
290,1,0,0
291,-1,0,0
292,0,1,1
293,1,1,1
294,0,0,1
295,-1,1,1
296,1,0,0
297,0,1,1
298,-1,1,1
299,-1,1,1
300,1,0,0
301,-1,0,0
302,0,1,0
303,1,1,1
304,-1,0,0
305,-1,1,1
306,0,1,0
307,1,1,1
308,0,1,1
309,-1,1,0
310,1,1,1
311,0,0,0
312,-1,1,1
313,1,0,1
314,1,1,1
315,-1,0,0
316,0,0,0
317,0,1,1
318,-1,0,0
319,1,0,0
320,1,1,1
321,0,1,1
322,-1,0,0
323,1,1,1
324,0,1,1
325,-1,0,0
326,0,0,0
327,1,1,1
328,-1,0,1
329,0,0,0
330,1,1,1
331,-1,0,0
332,0,1,1
333,0,1,1
334,1,1,1
335,-1,1,1
336,0,1,1
337,0,0,0
338,1,1,1
339,-1,1,1
340,0,1,1
341,1,0,0
342,-1,0,0
343,1,0,0
344,-1,0,0
345,0,1,1
346,1,0,0
347,0,0,1
348,-1,1,1
349,1,0,0
350,1,0,0
351,-1,0,1
352,-1,1,1
353,1,1,1
354,1,1,1
355,1,0,0
356,0,0,0
357,0,1,1
358,0,1,1
359,-1,1,1
360,0,1,1
361,1,0,0
362,0,1,1
363,-1,1,1
364,1,1,1
365,0,0,0
366,-1,0,0
367,-1,1,1
368,-1,1,1
369,0,0,0
370,1,1,1
371,1,0,0
372,-1,1,1
373,0,0,0
374,0,0,0
375,1,1,1
376,-1,1,1
377,0,0,0
378,1,0,0
379,-1,1,1
380,-1,0,0
381,0,1,1
382,1,0,0
383,1,0,0
384,0,1,1
385,-1,0,0
386,-1,0,0
387,0,0,0
388,1,1,1
389,-1,1,1
390,0,0,0
391,1,1,1
392,1,0,0
393,-1,0,0
394,0,1,0
395,-1,1,1
396,0,1,1
397,1,0,0
