premise,hypothesis,label
the young boys are playing outdoors and the adult male is smiling nearby,there is no male child playing outdoors and there is no adult male smiling,contradiction
a mortal in a black jacket is doing tricks on a minibike,a skilled mortal is riding a bike on one wheel,neutral
four child are doing backbends in the gymnasium,four girls are doing backbends and playing outdoors,neutral
a participant is throwing the ball,two teams are competing in a football game match,neutral
five child are standing in front of a wooden army hut,five child are standing in a wooden army hut,neutral
few people are eating at red tables in a eatery without lights,a large group of asian people is eating at a eatery,neutral
someone is on a black and white bike and is standing on the place,a bike is riding standing up on the place of the vehicle,neutral
two dogs are playing by a tree,two dogs are playing by a works,entailment
a girl in white is dancing,a girl is wearing white dress and is dancing,entailment
there is no girl in white dancing,a girl in white is dancing,contradiction
the equipment in front of the blond dancing girl is sound,a girl in white is dancing,neutral
a girl in white is dancing,the blond girl is dancing in front of the sound equipment,neutral
the child of a family are playing and waiting,an asian adult male is dancing and three child are looking,neutral
a tramp is on top of the mount and is doing a joyful dance,a tramp is on top of the mount and is dancing,entailment
a male child is standing outside the water,the male child is wading through the blue ocean,neutral
a bald mortal is playing a guitar,a mortal has blonde and flyaway hair and is playing a guitar,neutral
an old topless adult female is covered in paint,a young topless adult female is covered in paint,neutral
a group of child in uniforms is standing at a gate and there is no one kissing the female parent,a crowd of people is near the water,neutral
a brown and white domestic dog is running through the tall grass,a brown and white domestic dog is moving through the natural state grass,neutral
a white and tan domestic dog is running through the tall and green grass,a white and tan domestic dog is running through a field,entailment
a adult male is sitting near a motorcycle and is writing a note,a adult male is standing near a motorcycle and is writing on a piece paper,neutral
a group of scouts are hiking through the grass,a group of explorers are walking through the grass,neutral
two men are taking a interruption from a trip on a snowy route,two men with cars are on the side of a snowy route,neutral
a lady is surfing and riding a moving ridge,a blond girl is looking at the waves,neutral
the adult female wearing silver drawers pink bellbottoms and a pink scarf is riding a motorcycle,pink bellbottoms and a pink scarf arent to be worn by women with silver drawers or motorcycle riding people,neutral
the adult female wearing silver drawers pink bellbottoms and a pink scarf is riding a motorcycle,a footer adult female is building pink bike for feather boa wearing riders,neutral
a biker is wearing cogwheel which is black,a biker wearing black is breaking the gears,neutral
a adult female is taking off a cloak which is very large and revealing an extravagant frock,a adult female is putting on a cloak which is very large and concealing an extravagant frock,contradiction
a male child is climbing up a wall artificially built for climbing and is attached to a rope,a little male child who looks fearful is on a climbing wall,neutral
a adult male isnt tossing a child into the swimming pool that is near the ocean,the adult male is tossing a child into the swimming pool that is near the ocean,contradiction
one adult male is climbing a drop with a rope,a mortal with pink climbing cogwheel roped the stone,neutral
a mortal is climbing a stone with a rope which is pink,one adult male is climbing a drop with a rope,neutral
one white domestic dog is staring at the black street,two dogs of different breeds are looking at each other across a street,neutral
a domestic dog which is furry and black is in a back pace and is carrying a handbasket in its mouth,a domestic dog next to a tree which is probably a pine tree is biting a pail,neutral
a few men in a competition are running outside,a few men in a competition are running inside,contradiction
a few men in a competition are running outside,a few men are running competitions outside,neutral
the child is happily sliding in the snowfall,a male child on a hill covered in snowfall is wearing a red jacket and a black hat and is sliding on his knees,neutral
a adult female who is old is near a white domestic dog,a adult female and a domestic dog are sitting on a tree tree stump,neutral
a group of people is equipped with protective cogwheel,a group of people is equipped with cogwheel used for protection,entailment
one white domestic dog and one black one are running side by side on the grass,a domestic dog which has a black coat and a white domestic dog are running on the grass,entailment
not a lot of people are in an water ice skating parkland,an water ice skating skating rink placed outdoors is full of people,neutral
the girl in the blue and white uniform is cheering,the girl is cheering the adult male in the blue and white uniform,neutral
a adult female is being kissed by a adult male,there is no adult female being kissed by a adult male,contradiction
the girl in the red shirt is blowing a bubble,the young girl is blowing a bubble that is huge,neutral
some corndogs are being eaten by two toddlers who are in a waggon which is really small,two toddlers are eating corndogs in a waggon which is really small,entailment
a adult male is getting on a horse on a path laid in the natural state,a horse is tossing the cowman wearing drawers of blue and red colour,neutral
an grownup is in the amphitheatre and is talking to a male child,there is no grownup in the amphitheatre talking to a male child,contradiction
a talk about an grownup and a male child is given in the amphitheatre,an grownup is in the amphitheatre and is talking to a male child,neutral
the snowboarder isnt leaping over white snowfall,a mortal who is practicing snowboarding jumps into the air,neutral
a adult female is riding a horse,a adult male is opening a small packet that contains phone,neutral
a fish is hunting for a turtleneck in the sea,the turtleneck is following the fish,neutral
a tater is being sliced by a adult female,a adult female is slicing a carrot,neutral
a adult female is combing her hair,a adult female is arranging her hair,neutral
a adult female is combing her hair,there is no adult female combing her hair,contradiction
a adult male and a adult female are hiking through a wooded country,a adult male and a adult female are walking together through the woods,entailment
a adult male and a adult female are walking together through the woods,a adult male and a adult female are walking through a wooded country,entailment
a adult male is slicing a roll,a adult male is slicing a tomato,neutral
a adult female is dancing and singing alone,a adult female is dancing and singing with other women,contradiction
some women are dancing and singing,a adult female is dancing and singing in the rainfall,neutral
a adult female is dancing and singing with other women,a adult female is dancing and singing in the rainfall,neutral
a band is playing on a phase,a band is playing onstage,entailment
a adult male is playing transverse flute,a adult male is playing a game with a ball,neutral
the adult female is measuring the other adult female,a adult female is being measured by another adult female,entailment
a mortal is standing near a bike,a mortal is chopping an onion,neutral
a adult male is screaming,a adult male is scared,neutral
a sad adult male is crying,a adult male is screaming,neutral
a adult female is cutting shrimps,a adult male is chopping butter into a small container,neutral
men are sawing logs,men are cutting wood,entailment
a adult male is talking on the wireless,a adult male is spitting,neutral
three young men are running jumping and kicking near a vending machine,there is no adult male running jumping and kicking near a vending machine,contradiction
three men are jumping off a wall,three young men are furiously running jumping and kicking near a vending machine,neutral
the adult male is not stirring the sauce for the poulet,the adult male is stirring the sauce for the poulet,contradiction
a adult male is playing an electric guitar,a adult male is playing guitar,entailment
a adult male is playing a guitar,a adult male is strumming a guitar,entailment
three boys in karate costumes arent fighting,three boys in karate costumes are fighting,contradiction
three men are practicing karate outdoors,three boys in karate costumes are fighting,neutral
a adult female is planting some flowers,a adult female is cutting brassica oleracea italica,neutral
a hole is being burrowed by the badger,a badger is shrewdly digging the world,entailment
a serpent is being fed a mouse by a adult male,no serpent is being fed a mouse by a adult male,contradiction
some ingredients are being mixed in a bowl by a mortal,some ingredients are being separated in a bowl by a mortal,neutral
