premise,hypothesis,label
a duet playing with a little male kid on the beach , a duet are playing with a young kid outside,entailment
a adult male with a red shirt is watching another adult male who is standing on top of a attached cart filled to the top , the hands are outside,neutral
a busy metropolis that looks like new york metropolis , the metropolis looks like lawrence kansas,contradiction
a blond adult female with two child is checking out at a walmart registry , a female parent is with her two child at walmart buying food,neutral
two people pose for the photographic camera , people pose for a home icon,neutral
a adult male in a bright green shirt shows a woadult male in a bright pink shirt something on a clipboard , the woadult male is wearing blue,contradiction
two older hands are talking , two people are having a conversation,entailment
a foreign home is walking along a soil way next to the h2o , a home of foreigner swims in the h2o,contradiction
a adult male with a whiskers wearing a red shirt with gray sleeve and work glove pulling on a rope , a adult male is dragging a sled behind him,neutral
people waiting at a visible light on bike , people with bike,entailment
adult female exercising one adult female has a green mat and black outfit on , the adult female are both dressing in green,contradiction
a little male kid swims underwater , a kid swim,entailment
two domestic domestic dog biting another domestic domestic dog in a field , domestic domestic dog attacking another domestic domestic dog,entailment
association football team play on a field as the sun sets behind a line of tree , association football team are competing outdoors,entailment
new athletics is being played to show grasp to the kid who can not walk , people are playing a athletics in honour of crippled people,entailment
an elderly adult male is drinking orange juice at a coffee bar , an old adult male is enjoying a drink at a coffee bar,entailment
a adult male with a red shirt is watching another adult male who is standing on top of a attached cart filled to the top , a merchandiser and his help are trying to determine how adult maley product are in their cart,neutral
an grownup duet enjoys clip in a hot bath , a duet is in a hot bath exterior,neutral
a mount biker jumping a side outdoors in a woods country , hes inside,contradiction
two elderly hands having a conversation snowfall covered grass in the background , the hands are sleeping,contradiction
three small puppy bite and play together in the grass , three puppy are playing outside,entailment
a adult male on a street in a bright tshirt holds some form of tablet towards a woadult male in a pink tshirt and sunglasses , a woadult male is shown a tablet by a adult male standing on the street,entailment
fireman emerge from a tube station , the fireman are not working,neutral
a young adult female tries to stick her pes in a fountain , a adult female is near a fountain,entailment
a framework posing to look as if shes a real female association football participant , a adult male is frameworking for a cookery show,contradiction
a adult male with a whiskers wearing a red shirt with gray sleeve and work glove pulling on a rope , a adult male is wearing a black shirt,contradiction
a group meeting of young people sitting at a conference tabular array , young people are gathered around a tabular array,entailment
a mount motorcycler jumping a side outdoors in a woods country , a mortal is trying to learn new trick on their motorcycle,neutral
a adult male wearing black is playing an electric guitar at a concert , a adult male is playing the guitar,entailment
a adult male on a street in a bright tshirt holds some form of tablet towards a woadult male in a pink tshirt and sunglasses , a woadult male shows a cell telephone to a mortal standing nearby,contradiction
a adult male and a woadult male are standing next to sculpture talking while another adult male looks at other sculpture , there are scultupres nearby,entailment
adult female at walmart checkout having her grocery bagged by an employee , a adult female is in walmart,entailment
a group meeting of young people sitting at a conference tabular array , young people are learning about political relation,neutral
two burn and white domestic dog and one burn domestic dog racing down the beach near the h2o , three domestic dog are outside,entailment
a babe is playing with a strand of string of beads , the babe is playing,entailment
cheerleader are on the field cheering , the football game participant killed the cheerleader with his slug walk,contradiction
a small fille with a necklace is swimming , a fat fille is diving off the border,contradiction
a baseball game participant is putting all his might in to throwing a ball , participant is giving the ball away,neutral
a adult male in a blue shirt sits outside alone with a chess board laid out in front of him , a adult male in a blue shirt sitting outside behind a large wooden chess board,neutral
a adult male sitting in a barber store , there is an individual waiting inside,entailment
two child in hat play in an open rocky field , the child are at place eating luncheon,contradiction
cheerleader are on the field cheering , some football game dramaer are practicing a running drama,contradiction
motorcyclist performing while two hands watch , hands watching motorcyclist,entailment
a babe is playing with a strand of string of beads , the babe is sleeping,contradiction
a doc checks the tum of a tot , the doc is looking inside the tots mouth,contradiction
one adult male sits inside and plays the banjo there are tree behind him outside , a adult male runs outside,contradiction
people walking around in a big metropolis , the people are asleep,contradiction
scads of neatly folded vesture covert most of this flooring while a adult female with a beige shirt and jean busily fills a bag , a adult female is packing for a trip,neutral
fireman emerge from a tube station , fireman walking outside,entailment
a home with a babe the begetter is wearing a save the child mark , a adult male is wearing something with writing on it,entailment
a male child is drinking out of a h2o fountain shaped like a adult female , a adult male is drinking lemonade from a glass,contradiction
two adult one female in white with sunglasses and one male gray apparel walking across a street away from a restaurant with a blurred mental image of a dark colored red shirted mortal in the foreground , two adult run across the street to get away from a red shirted mortal chasing them,contradiction
a mount biker jumping a side outdoors in a woods country , they are avoiding tree,entailment
an older adult male sits with his orange juice at a small tabular array in a java store while employee in bright colored shirt smiling in the background , an elderly adult male sits in a small store,neutral
two hands serving preparing nutrient , two hands riding bike,contradiction
two older hands in coat are standing outside , these hands never wore coat,contradiction
two child play outside in a field , two child are reading at their desk,contradiction
a duet dramaing with a little male child on the beach , a duet watch a little fille drama by herself on the beach,contradiction
a adult female dialogue to two other woadult male and a adult male with notepad in an business business office edifice with large windows , a adult female in an business business office edifice dialogue to two other woadult male and a adult male with notepad,entailment
a doc in blue gown is performing an operation assisted by two hands and a adult female , the boy were angry,contradiction
bicyclist waiting at an intersection point , the bicyclist are dead,contradiction
a driver is racing his ford vehicle on a crushed rock path , a adult male has parked his motortruck,contradiction
a home with a babe the begetter is wearing a save the child mark , a adult female is holding a babe,neutral
a blond adult female with two child is checking out at a walmart registry , a female parent is with her two child at walmart,entailment
the school is having a special event in order to show the american civilisation on how other civilisations are dealt with in party , a high school is hosting an event,neutral
cyclist waiting at an intersection point , a cyclist is sitting down having luncheon at the promenade,contradiction
a doc checks the tum of a tot , the paddle might be sick,neutral
a driver is racing his ford vehicle on a crushed rock path , a adult male is racing his motortruck,neutral
two people dancing wearing dance costume , the duet are dancing together,neutral
a duet who appear to be indian or pakistani walking on a way beside a organic structure of h2o the female parent carrying a kid in a nappy the begetter wrapped in a cover with the logotype of the humanitarian organisation save the kidren , an indian duet is seeking safety with a humanitarian organisation,neutral
a little male child underwater in a pool holding a plastic dinosaur , the plaything is waterproof,neutral
a little male child in brownness drawers is playing on rope at a parkland , there is a little male child who likes the colour brownness,neutral
a white equus caballus is pulling a cart while a adult male stands and watches , a equus caballus is hauling good,neutral
young adult female running as two guy in the back effort to catch up to her , woman has java with two guy,contradiction
a skier slides along a metallic element railinging , a skier is near the railinging looking down,neutral
a adult male in a bright green shirt shows a woadult male in a bright pink shirt something on a clipboard , the clipboard has writting on it,neutral
four teenage boy are doing cannonball into a swim pool , four friend are having a competition to see who throws the most h2o out of a pool,neutral
a adult male stopping on the pavement with his motorcycle to have a fume , the adult male is lighting a cigaret,neutral
a adult male with wild hair rocks a show playing a guitar centre phase , the bald adult male played the drum,contradiction
a domestic domestic dog drops a red disk on a beach , a domestic domestic dog drops a red disk,entailment
a adult male in a bright green shirt shows a woadult male in a bright pink shirt something on a clipboard , two people are looking at note on an electronic tablet,contradiction
people on bicycle waiting at an intersection point , the people are waiting for the pic to begin,contradiction
a adult male in red stands with his kid at the beach , a adult male wearing red standing with his kid as they watch others build sand castle at the beach,neutral
a adult male on a street in a bright tshirt holds some form of tablet towards a woadult male in a pink tshirt and sunglasses , a adult male and a woadult male are outside,entailment
a adult male in a gold foils skirt sitting at a computing device desk looks at the photographic camera with his custody raised to his huadult male face , a adult male is looking at his webcam,entailment
the silhouette of three people in front of a wall , the people are running down the land route,contradiction
exhausted looking fireman are walking , fireman are walking,entailment
a adult male woadult male and kid enjoying themselves on a beach , a home of three is at the promenade shopping,contradiction
cheerleader are on the field cheering , there are people outdoors,entailment
a small grouping of churchgoer watch a choir pattern , the parson and elder watch the choir to make sure they are good,neutral
two hands serving preparing nutrient , two hands serving nutrient,entailment
a duet wearing black burgundy and white dance , the adult female danced alone,contradiction
adult female and kid on trolley auto auto labeled powell and marketplace and bay and taylor , the adult female is autorying her kid,neutral
two association football team are competing on a association football field , two baseball game team are competing,contradiction
people going for a long walking to the mountain , the people are walkinging in a big grouping,neutral
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , people wait for a race to begin,entailment
a adult female is walking across the street eating a banana tree while a adult male is following with his briefcase , a mortal that is hungry,neutral
a young asian adult male sits behind a set chess board waiting for the other participant to arrive , a young adult male is on mars,contradiction
a adult female wearing a green and pink frock is dancing with someone wearing a blue top with white drawers , the adult female in green and pink is dancing,entailment
two people wearing blue vesture are making adult maleus gesture next to one another , a adult male is sitting with his adult maleuss in his pocket,contradiction
a baseball game game game participant is about to throw a baseball game game game , a baseball game game game participant is swinging to hit the ball,entailment
the young adult male is waiting with others on the pavement , the girl are climbing a tree,contradiction
an average looking adult male is playing the guitar , the adult male is playing the drum,contradiction
adult male on the pavement sitting on a bike , a adult male driving his auto,contradiction
a boat worker securing line , the boat worker is swimming in the ocean,contradiction
people waiting at a visible light on bike , hands and wohands on their motorcycle wearing helmet and protective jacket,neutral
a adult male with a whiskers wearing a red shirt with gray sleeve and work glove pulling on a rope , a adult male pulls his whiskers,contradiction
a baseball game participant is putting all his might in to throwing a ball , hurler is winding up a throw,entailment
adult male in gold drawers looking at the photographic photographic camera , adult male looking at the photographic photographic camera,entailment
a adult female wearing an apron inspects a large pot on a tabular array filled with cup lawn bowling pot and basket of assorted size , a adult female wearing glove is washing dish,contradiction
an asian adult female in a blue top and green headscarf smiling widely as another adult female rows a boat in the background , an asian adult female is running from a domestic dog,contradiction
a schoolroom of student discussing talk , the student are running in pe family,contradiction
a white motorcycle is tied to a street mark , the auto is parked at the mark,contradiction
a adult female wearing a green and pink frock is dance with someone wearing a blue top with white drawers , the dance adult female is alone in her bedchamber,contradiction
a adult male holds a clipboard and a pen as a woadult male looks at them , a woadult male is looking at a adult males possession,entailment
a adult male on a street in a bright tshirt holds some form of tablet towards a woadult male in a pink tshirt and sunglasses , the adult male and woadult male are outdoors,entailment
a adult male in a green shirt holds out a clipboard for a woadult male in pink attending , a adult male is trying to get a woadult male to sign something,neutral
people waiting at a visible light on bike , there are some people outside,entailment
a adult male squatting in the foreground of a photo while taking a photo of his own of a adult male doing a skateboarding kicking somerset in midair above a short flight of steps outdoors , a adult male is taking the icon of a skateboarder who is being taken by alien,contradiction
a foreign home is walking along a soil way next to the h2o , a grouping of local run on a soil trail next to a frozen watercourse,contradiction
a adult female is walking across the street eating a banana tree while a adult male is following with his briefcase , nobody has nutrient,contradiction
a position of building and people walking across the street in times square new york city , times square in new york city is full of people and bustling with noise and activity,neutral
adult male in gold drawers looking at the photographic camera , adult male is walking away to the hallway,contradiction
two lady are reading through binder , some woman are reading,entailment
a adult male squatting in the foreground of a photo while taking a photo of his own of a adult male doing a skateboarding kicking somerset in midair above a short flight of steps outdoors , a adult male photos a skateboarder doing trick,entailment
a adult male walking along side a clean and jerk up crew , the adult male directed the clean and jerk up crew where to go,neutral
a adult male in a striped polo shirt is pointing and smiling , the adult male is swimming,contradiction
a association football game occurring at sundown , a basketball game game is ocurring at sunup,contradiction
the furry brown domestic domestic dog is swimming in the ocean , a domestic domestic dog is running around the pace,contradiction
a adult female preparing to glaze a bowl , a adult female preparing to glaze,entailment
