id,premise,hypothesis,label
4,the young boys are playing outdoors and the man is smiling nearby,there is no boy playing outdoors and there is no man smiling,contradiction
24,a person in a black jacket is doing tricks on a motorbike,a skilled person is riding a bicycle on one wheel,neutral
105,four children are doing backbends in the gym,four girls are doing backbends and playing outdoors,neutral
116,a player is throwing the ball,two teams are competing in a football match,neutral
119,five children are standing in front of a wooden hut,five children are standing in a wooden hut,neutral
185,few people are eating at red tables in a restaurant without lights,a large group of asian people is eating at a restaurant,neutral
197,someone is on a black and white motorcycle and is standing on the seat,a motorcycle is riding standing up on the seat of the vehicle,neutral
211,two dogs are playing by a tree,two dogs are playing by a plant,entailment
218,a girl in white is dancing,a girl is wearing white clothes and is dancing,entailment
219,there is no girl in white dancing,a girl in white is dancing,contradiction
225,the equipment in front of the blond dancing girl is sound,a girl in white is dancing,neutral
228,a girl in white is dancing,the blond girl is dancing in front of the sound equipment,neutral
236,the children of a family are playing and waiting,an asian man is dancing and three kids are looking,neutral
253,a hiker is on top of the mountain and is doing a joyful dance,a hiker is on top of the mountain and is dancing,entailment
280,a boy is standing outside the water,the boy is wading through the blue ocean,neutral
285,a bald person is playing a guitar,a person has blonde and flyaway hair and is playing a guitar,neutral
304,an old topless woman is covered in paint,a young topless woman is covered in paint,neutral
317,a group of children in uniforms is standing at a gate and there is no one kissing the mother,a crowd of people is near the water,neutral
382,a brown and white dog is running through the tall grass,a brown and white dog is moving through the wild grass,neutral
384,a white and tan dog is running through the tall and green grass,a white and tan dog is running through a field,entailment
394,a man is sitting near a bike and is writing a note,a man is standing near a bike and is writing on a piece paper,neutral
402,a group of scouts are hiking through the grass,a group of explorers are walking through the grass,neutral
417,two men are taking a break from a trip on a snowy road,two men with cars are on the side of a snowy road,neutral
450,a lady is surfing and riding a wave,a blond girl is looking at the waves,neutral
520,the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,pink bellbottoms and a pink scarf arent to be worn by women with silver pants or bike riding people,neutral
526,the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,a pedestrian woman is building pink bicycles for boa wearing riders,neutral
530,a biker is wearing gear which is black,a biker wearing black is breaking the gears,neutral
592,a woman is taking off a cloak which is very large and revealing an extravagant dress,a woman is putting on a cloak which is very large and concealing an extravagant dress,contradiction
619,a boy is climbing up a wall artificially built for climbing and is attached to a rope,a little boy who looks fearful is on a climbing wall,neutral
630,a man isnt tossing a kid into the swimming pool that is near the ocean,the man is tossing a kid into the swimming pool that is near the ocean,contradiction
647,one man is climbing a cliff with a rope,a person with pink climbing gear roped the rock,neutral
651,a person is climbing a rock with a rope which is pink,one man is climbing a cliff with a rope,neutral
687,one white dog is staring at the black street,two dogs of different breeds are looking at each other across a street,neutral
698,a dog which is furry and black is in a back yard and is carrying a basket in its mouth,a dog next to a tree which is probably a pine is biting a bucket,neutral
717,a few men in a competition are running outside,a few men in a competition are running indoors,contradiction
718,a few men in a competition are running outside,a few men are running competitions outside,neutral
765,the kid is happily sliding in the snow,a boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,neutral
780,a woman who is old is near a white dog,a woman and a dog are sitting on a tree stump,neutral
816,a group of people is equipped with protective gear,a group of people is equipped with gear used for protection,entailment
860,one white dog and one black one are running side by side on the grass,a dog which has a black coat and a white dog are running on the grass,entailment
873,not a lot of people are in an ice skating park,an ice skating rink placed outdoors is full of people,neutral
882,the girl in the blue and white uniform is cheering,the girl is cheering the man in the blue and white uniform,neutral
913,a woman is being kissed by a man,there is no woman being kissed by a man,contradiction
933,the girl in the red shirt is blowing a bubble,the young girl is blowing a bubble that is huge,neutral
947,some corndogs are being eaten by two toddlers who are in a wagon which is really small,two toddlers are eating corndogs in a wagon which is really small,entailment
980,a man is getting on a horse on a track laid in the wild,a horse is tossing the cowboy wearing pants of blue and red color,neutral
987,an adult is in the amphitheater and is talking to a boy,there is no adult in the amphitheater talking to a boy,contradiction
988,a talk about an adult and a boy is given in the amphitheater,an adult is in the amphitheater and is talking to a boy,neutral
1039,the snowboarder isnt leaping over white snow,a person who is practicing snowboarding jumps into the air,neutral
1102,a woman is riding a horse,a man is opening a small package that contains headphones,neutral
1137,a fish is hunting for a turtle in the sea,the turtle is following the fish,neutral
1170,a potato is being sliced by a woman,a woman is slicing a carrot,neutral
1177,a woman is combing her hair,a woman is arranging her hair,neutral
1178,a woman is combing her hair,there is no woman combing her hair,contradiction
1190,a man and a woman are hiking through a wooded area,a man and a woman are walking together through the woods,entailment
1192,a man and a woman are walking together through the woods,a man and a woman are walking through a wooded area,entailment
1232,a man is slicing a bun,a man is slicing a tomato,neutral
1236,a woman is dancing and singing alone,a woman is dancing and singing with other women,contradiction
1237,some women are dancing and singing,a woman is dancing and singing in the rain,neutral
1241,a woman is dancing and singing with other women,a woman is dancing and singing in the rain,neutral
1266,a band is playing on a stage,a band is playing onstage,entailment
1302,a man is playing flute,a man is playing a game with a ball,neutral
1333,the woman is measuring the other woman,a woman is being measured by another woman,entailment
1390,a person is standing near a motorcycle,a person is chopping an onion,neutral
1396,a man is screaming,a man is scared,neutral
1400,a sad man is crying,a man is screaming,neutral
1410,a woman is cutting shrimps,a man is chopping butter into a small container,neutral
1412,men are sawing logs,men are cutting wood,entailment
1443,a man is talking on the radio,a man is spitting,neutral
1469,three young men are running jumping and kicking near a vending machine,there is no man running jumping and kicking near a vending machine,contradiction
1470,three men are jumping off a wall,three young men are furiously running jumping and kicking near a vending machine,neutral
1487,the man is not stirring the sauce for the chicken,the man is stirring the sauce for the chicken,contradiction
1493,a man is playing an electric guitar,a man is playing guitar,entailment
1495,a man is playing a guitar,a man is strumming a guitar,entailment
1503,three boys in karate costumes arent fighting,three boys in karate costumes are fighting,contradiction
1506,three men are practicing karate outdoors,three boys in karate costumes are fighting,neutral
1525,a woman is planting some flowers,a woman is cutting broccoli,neutral
1584,a hole is being burrowed by the badger,a badger is shrewdly digging the earth,entailment
1608,a snake is being fed a mouse by a man,no snake is being fed a mouse by a man,contradiction
1628,some ingredients are being mixed in a bowl by a person,some ingredients are being separated in a bowl by a person,neutral
1676,a boat is sailing peacefully over the water,the guitar is being played by the man,neutral
1690,the milk is being drunk by a cat,the cat is drinking some milk,entailment
1703,a man is emptying a container made of plastic completely,a man is emptying a container made of plastic,entailment
1711,a man is emptying a container made of plastic,a man is carelessly holding a frog,neutral
1754,a flute is being played in a lovely way by a girl,a flute is being played by a girl,entailment
1807,the adult is playing the guitar loudly,a flute is being played by a man,neutral
1811,a man is playing the guitar loudly,a flute isnt being played by a man,neutral
1839,the girl who is little is carefully combing her hair into a pony tail,the girl who is little is combing her hair into a pony tail,entailment
1847,one man is sitting on the chair,the girl who is little is ruffling her hair,neutral
1861,the microphone in front of the talking parrot is being muted,the parrot is talking into the microphone,neutral
1877,the kittens on the trays are being eaten as food for an advertisement,the food on the trays is being eaten by the kittens,neutral
1881,the food on the trays is being eaten by the kittens,a few kittens are eating,entailment
1964,one person is playing the guitar and singing,a person is playing a guitar and singing,entailment
2001,the horse is being ridden by a man,a man is riding the horse,entailment
2019,a man is dangerously throwing knives at a tree,some dangerous men with knives are throwing a bike against a tree,neutral
2058,a lady is cutting up some meat precisely,some meat is being cut into pieces by a woman,entailment
2089,the man is denying an interview,the man is granting an interview,contradiction
2096,the man is granting an interview,a mans white car is being driven away,neutral
2130,a small boy is scolding a dog,a small boy is playing with a dog,neutral
2157,the picture of a camera set up is being taken by a man on the beach at the sunset,a man is taking pictures of a lake,neutral
2166,a woman is sewing with a machine,a woman is using a machine made for sewing,entailment
2221,someone is falling off a horse,the man is not knocked off of a horse,neutral
2229,a woman is tapping her fingers on a table,a woman is resting her fingers on a table,neutral
2231,a woman is tapping her fingers,a woman is resting her fingers on a table,neutral
2284,the cat is playing passionately with a watermelon,the cat is playing with a watermelon,entailment
2286,the cat is playing passionately with a watermelon,a cat is playing with a watermelon,entailment
2362,a person is burning some cameras with a blow torch,the tall person is setting fire to the cameras,neutral
2364,some cameras are being burned by a person with a blow torch,the person is setting fire to the cameras,entailment
2366,a person by some cameras is blowing on a burning torch,the person is setting fire to the cameras,neutral
2385,a person is cutting an onion into pieces,a person is slicing a carrot into pieces,neutral
2392,the man is not slicing the potato,the man is slicing a potato,contradiction
2402,someone is cutting a tomato,the woman is holding a whole tomato,neutral
2404,the lady is slicing a tomato,there is no one cutting a tomato,contradiction
2405,the lady is slicing a tomato,someone is cutting a tomato,entailment
2410,a man is preparing some dish,an onion is being sliced with a knife by the woman,neutral
2430,one man is running down the road,a man is running,entailment
2476,some people are singing,a group of people is singing,entailment
2485,the man is playing a guitar,a man is playing a trumpet,neutral
2525,a few people are floating on a raft,people are riding and paddling a raft,neutral
2527,people are riding and paddling a raft,four people are floating on a raft,neutral
2535,there is no cat eating corn on the cob,a cat is eating some corn,neutral
2544,the person is slicing a vegetable,nobody is slicing a tomato,neutral
2557,someone is strumming the guitar,someone is playing the guitar,entailment
2566,three women are dancing,a few women are dancing,entailment
2604,a bull dog is being brushed by the monkey,the monkey is brushing a bull dog,entailment
2606,the monkey is brushing a bull dog,a bull dog is brushing the monkey,neutral
2662,the lady isnt cracking an egg for the mixer,the lady is slicing up the meat,neutral
2668,a few ferrets are climbing out of the cage,ferrets are climbing down from a shelf,neutral
2678,a man is hurriedly getting into a car in a garage,a man is getting into a car,entailment
2679,a man is parking a car in a garage,a man is getting into a car,neutral
2687,the person is slicing a clove of garlic into pieces,the person is not slicing a clove of garlic into pieces,contradiction
2704,noodles are being boiled in water by a woman,a woman is boiling noodles in water,entailment
2712,there is no karate practitioner kicking at another man who is wearing protective boxing gloves,a karate practitioner is kicking at another man who is wearing protective boxing gloves,contradiction
2720,the man is kick boxing with a trainer,there is no karate practitioner kicking at another man who is wearing protective boxing gloves,neutral
2721,the man is kick boxing with a trainer,a karate practitioner is kicking at another man who is wearing protective boxing gloves,neutral
2722,a woman who is seated is singing a song and playing the guitar,a seated woman is singing a song and playing the guitar,entailment
2726,a woman on a rock is lying on a blanket and reading a book,a woman is rocking over a blanket lying on someone reading a book,neutral
2738,the woman is not playing an electric guitar,a man is playing an acoustic guitar,neutral
2766,a man and woman are talking,a man and a woman are eating happily,neutral
2772,a person is pouring oil for cooking into a pot,a person is pouring cooking oil into a pot,entailment
2791,a guinea pig which is small is gnawing and eating a piece of carrot on the floor,a small guinea pig is gnawing and eating a piece of carrot on the floor,entailment
2795,a small guinea pig is gnawing and eating a piece of carrot on the floor,a guinea pig is devouring a carrot,entailment
2812,a plane is landing,an animated airplane is taking off,neutral
2822,a woman is taking a mixture out of a bowl,a woman is preparing an egg in a skillet,neutral
2829,the lady is penciling on eyeshadow,the woman is penciling on eyeshadow,entailment
2842,a little girl is playing a grand piano on stage,a girl is practicing the piano,neutral
2886,a woman is playing a flute,the woman is not playing the flute,contradiction
2898,the man is lifting barbells,the man is lifting weights,entailment
2911,a woman is putting on makeup,there is no woman putting on makeup,contradiction
2932,the woman is cutting a carrot,an onion is being sliced by a woman,neutral
2936,two men are fighting in a cattle pen,two men are outside a cattle pen,neutral
2965,a big green ball is missing a potato,a big green ball is knocking a potato,neutral
2967,a large green ball is hitting a potato,a large green colored ball is hitting a potato,entailment
2968,a large green ball is missing a potato,a large green ball is hitting a potato,neutral
2972,a large green ball is hitting a potato,a big green ball is missing a potato,contradiction
2996,a man is playing a guitar,a man is laying down a guitar,neutral
3002,a woman is playing an electric guitar,a man is laying down a guitar,neutral
3036,the puppy is not playing with a plastic container,the puppy is playing with a plastic container,contradiction
3061,a woman is driving a car and is talking to the man who is seated beside her,there is no woman driving a car and talking to the man seated beside her,contradiction
3107,a man is flooring a sitting guitar player,a man is sitting on the floor in a room and strumming a guitar,neutral
3122,a woman is using a pencil for eyes and is applying eye liner to her eyelid,a woman is applying cosmetics to her eyelid,entailment
3123,there is no woman using an eye pencil and applying eye liner to her eyelid,a woman is applying cosmetics to her eyelid,contradiction
3143,a monkey is kicking at a persons glove,the monkey is practicing martial arts,neutral
