pair_ID	sentence_AB	E_judgment
0	men are sawing logs [SEP] men are cutting wood	0
1	a man is passionately playing a guitar [SEP] a person is singing and playing a guitar	2
2	a man with no shirt is jumping over a log [SEP] a guy is leaping into the air in a wooded area	2
3	there is no one sitting in lawn chairs and reading books [SEP] two people in two chairs are reading	2
4	a man is cutting a potato [SEP] a man is cutting a tomato	2
5	a person is tearing paper [SEP] a person is tearing sheets	2
6	the men are playing soccer [SEP] a man is riding a motorbike	2
7	a woman is frying something [SEP] a horse is being ridden by a woman	2
8	two dogs are running and carrying a plaything in their mouths [SEP] two dogs are running and carrying an physical object in their mouths	0
9	a adult male is talking to the adult female who is seated beside him and is driving a car [SEP] a adult female is driving a car and is talking to the adult male who is seated beside her	0
10	the kids are wearing bathing suits and water is splashing around [SEP] the kids are not wearing suits and water is splashing around	1
11	a basketball game participant is on the judicature floor and another one is grabbing the ball [SEP] a basketball game participant is on the judicature floor and the ball is being grabbed by another one	0
12	butter is being chopped into a container by a man [SEP] a man is chopping butter into a container	0
13	racers are running down a path [SEP] there are no racers running down a path	1
14	a topless mortal with a back plurality is in front of a mound of rocks and clouds are in the background [SEP] a fully dressed mortal is behind a mound of rocks and a clear sky is in the background	2
15	there is no woman using an eye pencil and applying eye liner to her eyelid [SEP] a woman is using an eye pencil and is applying eye liner to her eyelid	1
16	a mortal is pouring oil made with olives into a pot on the range [SEP] a mortal is pouring cooking oil into a pot	0
17	a man is pouring liquid into a pot [SEP] the chef is carefully pouring some oil into a pan	2
18	the little girl is swinging and the woman is standing behind her [SEP] a small child is showing excitement on a swing set at the park	2
19	a pair of kids are sticking out blue and green colored tongues [SEP] two young boys are wearing hats and sticking their colored tongues out	2
20	some liquid is being poured into a pan by a man [SEP] a man is pouring liquid into a pot	0
21	a woman is chopping up an octopus [SEP] a woman is cutting an octopus	0
22	a black dog and a small white and black dog are looking up at a kitchen countertop [SEP] a large dog and a small dog are standing next to the kitchen counter and are investigating	0
23	one man is climbing a rock wall and another man is holding a rope [SEP] the men are not climbing a mountain	2
24	a adult male is sitting on a railroad train and resting his hand against his human face [SEP] the bearded adult male is sitting on a railroad train	2
25	a woman is beating two eggs in a bowl and using a whisk made of wire [SEP] one woman is beating two eggs in the bowl and using a whisk made of wire	0
26	a dog is not running towards a ball [SEP] a dog is running towards a ball	1
27	a girl in a uniform which is blue is raising her arm [SEP] the girl in the blue and white uniform is cheering	2
28	the girl likes red and isnt wearing string of beads for teenagers [SEP] a young lady with visible light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling	2
29	a girl is playing a flute [SEP] a girl is playing a wind instrument	0
30	the windows are being cleaned by a adult male [SEP] the adult male is driving a car	2
31	the adult male is driving a car [SEP] there is no window being cleaned by a adult male	2
32	there is no blond kid holding a yellow bottle [SEP] someone is playing the guitar	2
33	a adult male in a blue jump suit is failing to perform a wheelie on a bike [SEP] the adult male is doing a wheelie with a bike on earth which is mostly barren	2
34	two people in snowsuits are lying in the snow and making snow angels [SEP] two angels are making snow on the lying children	2
35	the girl is spraying the plants with water [SEP] the boy is spraying the plants with water	2
36	a girl dressed in purple and blue is slowly walking beside her bike at night [SEP] a girl dressed in purple and blue is walking beside her bike at night	0
37	the adult male is riding a horse by a brook [SEP] the adult male is riding a horse by a watercourse	0
38	a man is riding a horse [SEP] there is no man riding a horse	1
39	two men are fighting in a cow pasture [SEP] two men are fighting in a cattle pen	2
40	a adult male in a pose is being amusedly watched by another adult male [SEP] a adult male doing a pose is being watched by another adult male	0
41	a adult male is emptying a container made of plastic [SEP] a adult male is emptying a plastic container	0
42	a adult male and a adult female are not driving down the street in a landrover [SEP] a adult male and a adult female are driving down the route in an openair vehicle	2
43	the lady is peeling the potato [SEP] a woman is not peeling a potato	1
44	a man is chopping a log with an axe [SEP] there is no man chopping a log with an axe	1
45	two women are standing together and one is looking through field glasses [SEP] two men are looking out and one is holding field glasses	2
46	a adult male is playing the guitar [SEP] a guitar is being played by a adult male	0
47	a soccer ball is rolling into a goal net [SEP] a soccer player is kicking a ball out of the goal	2
48	a man is playing an electric guitar [SEP] a man is playing guitar	0
49	a girl is surrounding brown dressed children who are closing the eyes [SEP] a girl in a brown dress is being surrounded by children and is closing her eyes	2
50	a adult female in a black frock is pulling a cart and is standing in front of two men who are seated on a parkland bench [SEP] a adult female in a black frock is pulling a cart and is standing near two men who are seated on a parkland bench	0
51	the child of a family are playing and waiting [SEP] an asian adult male is dancing and three child are looking	2
52	there is no man playing a keyboard [SEP] a man is playing a keyboard	1
53	an military officer is talking to the recruits [SEP] an military officer is listening to the recruits	2
54	a adult female is putting meat in a cooking pan [SEP] there is no adult female putting meat in a cooking pan	1
55	a cat is playing on a moving ceiling fan [SEP] a cat is swinging on a fan	0
56	a group of people are walking [SEP] a group of people are dancing at a concert	2
57	there is no soccer player who is being tackled by an opponent [SEP] rugby players are tackling each other	2
58	a cyclist is holding a motorcycle over his head in a group of people [SEP] a bicyclist is being held over the heads of a group of people with the motorcycle	2
59	a man in a car is not pulling up beside a woman who is walking along a road [SEP] a child is walking down the street and a jeep is pulling up	2
60	a adult male is playing a guitar [SEP] there is no adult male singing and playing a guitar	2
61	a man is cutting a box [SEP] there is no man cutting a box	1
62	a black true cat is swinging on a fan [SEP] a true cat is stuck on a moving ceiling fan	2
63	two daschunds are playing with a red ball [SEP] two dogs are playing with a small red ball	2
64	a mortal is buttering a tray [SEP] a mortal is spreading butter on a tray	0
65	a domestic dog is barking at a ball [SEP] a true cat is swimming after a lawn tennis ball	2
66	a group of kids is playing in a yard and an old man is standing in the background [SEP] a group of boys in a yard is playing and a man is standing in the background	2
67	two dogs are playing together on the grass [SEP] two dogs are resting together in the grass	2
68	there is no man eating a banana [SEP] someone is peeling a banana	2
69	two crocodiles are floating in a green colored swimming pool near some playing kids [SEP] two kids are pushing an inflatable crocodile in a pool	2
70	the man is slicing vegetables [SEP] a woman is cutting a potato	2
71	the man in the straw hat is smoking a cigarette [SEP] a person is wearing a straw hat and smoking a cigarette	0
72	a policeman is sitting on a motorcycle [SEP] the cop is sitting on a police bike	0
73	a black domestic dog on a lead is walking in the water [SEP] the domestic dog is on a lead and is walking in the water	0
74	the dog is jumping in the shade of some trees [SEP] a dog is jumping in the shade of some trees	0
75	a young boy is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head [SEP] a young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on her head	2
76	a man is cooking a snake [SEP] the man is dropping sliced cucumbers into water	2
77	a adult female is talking on a telephonic device [SEP] two boys are talking on the telephone	2
78	the mortal is dicing up a black pepper which is orange [SEP] a cook is slicing some bell peppers	2
79	someone is drawing a person [SEP] the person is drawing	0
80	a mortal is scrubbing a courgette [SEP] the mortal is scrubbing a courgette	0
81	the military officer is barking at the recruits [SEP] the recruits are barking at the military officer	2
82	there is no domestic dog running with a volleyball game [SEP] a domestic dog is running with a volleyball game	1
83	a bubble blew dyeing the girls shirt red [SEP] the young girl is blowing a bubble that is huge	2
84	a crowd which is large in warm clothing is posing for a photographic camera [SEP] two men a adult female and two young boys are standing in front of a large gathering of people outside a building	2
85	a adult female is riding a horse [SEP] a adult female is not riding a horse	1
86	a man is making a speech on a podium [SEP] a man is speaking on a podium	0
87	a concentrated adult female is playing transverse flute [SEP] a adult female is playing transverse flute	0
88	a cervid is standing inside a fence [SEP] the cervid is jumping over the fence	1
89	the dark skinned male is standing on one hand in front of a yellow building [SEP] the dark skinned male is not standing on one hand in front of a yellow building	1
90	a male child is filling a hurler with water [SEP] a hurler is being filled with water by a male child	0
91	there is no biker jumping in the air [SEP] a lone biker is jumping in the air	1
92	a young boy is jumping out of the water [SEP] a young boy is jumping into water	1
93	a nude lady is walking in front of a crowd in body paint [SEP] a topless girl is covered in paint	0
94	rollerbladers are rolling in formation down a hill [SEP] a group of rollerbladers is lining up on the street	2
95	the mortal is not standing on white water ice [SEP] the mortal is standing on white water ice	1
96	a dog is bouncing on a trampoline [SEP] a dog is jumping on a trampoline	0
97	there is no puppy rolling [SEP] a puppy is repeatedly rolling from side to side on its back	1
98	the black and white domestic dog is running and a mortal stands behind it [SEP] a little domestic dog is sprinting and the mortal who owns it is trying to catch it	2
99	a adult male is skiing down a snowy mount [SEP] a adult male is skiing down a snowy hill	2
100	the equipment in front of the blond dancing girl is sound [SEP] a girl in white is dancing	2
101	a young black kid is standing on the border of a organic structure of water near some buckets [SEP] a young black kid is waiting on the border of a organic structure of water near some buckets	0
102	a adult male is drinking orange juice and walking on a sunny solar day [SEP] there is no adult male drinking orange juice and walking on a sunny solar day	1
103	the green field for horse races is completely full of jockeys [SEP] the jockeys are racing horses on the field which is completely green	0
104	a adult male is falling off a horse on a path and is laid in the natural state [SEP] the cowman is tossing the blue and red drawers towards the horse	2
105	someone is reading the e-mail [SEP] someone is not reading the e-mail	1
106	a person is peeling a banana [SEP] a banana is being peeled by a person	0
107	the man is operating a stenograph [SEP] a man is typing on a machine used for stenography	0
108	a man is outside and is throwing blades at a target which is close [SEP] a man is outside and is throwing blades at a close target	0
109	there is no water being drunk by a true cat [SEP] some water is being drunk by a true cat	1
110	someone is on a black and white motorcycle and is standing on the seat [SEP] a motorcycle is riding standing up on the seat of the vehicle	2
111	a adult female is cracking some eggs outside a bowl [SEP] a adult female is adding ingredients to a bowl	2
112	a adult female is cutting a lemon [SEP] a adult female is cutting fruit	0
113	a plump faced male child is wearing shades [SEP] shades are being worn by a male child	0
114	a young boy in a helmet is riding a bike on the lawn [SEP] a young boy in a helmet is riding a bike on the road	2
115	there is no dog playing with a red ball [SEP] two daschunds are playing with a red ball	1
116	a young child is climbing a rock climbing wall which is indoors [SEP] a young kid is climbing a rock climbing wall which is indoors	0
117	a adult male is drilling a hole with a piece of wood [SEP] someone is drilling a hole in a strip of wood with a power drill	2
118	a woman is taking off a cloak which is very large and revealing an extravagant dress [SEP] a black red white and pink dress is being worn by a woman	2
119	two boys are laying in the ocean close to the beach [SEP] two boys are laying in the water close to the beach	0
120	the little boy is singing and playing the guitar [SEP] the little boy is not singing and playing the guitar	1
121	a adult female is cooking shrimp [SEP] a adult female is boiling shrimps	2
122	two teams are playing soccer [SEP] different football players are teaming on a field	2
123	a man is spraying a super soaker into the mouth of a dog [SEP] a man is squirting water into the mouth of a white dog with a squirt gun	2
124	a dog is missing the ball in mid air [SEP] a dog is catching a ball in mid air	1
125	a adult female is deboning a fish [SEP] a big fish is catching a adult male	2
126	a small girl is getting out of a toy car [SEP] a child is sitting in a red and yellow toy car	2
127	a black true cat is swinging on a fan [SEP] a true cat is swinging on a fan	0
128	some men are sawing [SEP] men are sawing	0
129	a black and white dog is carrying a small stick on the green grass [SEP] a black and white dog is carrying a huge stick on the green grass	2
130	a woman is being caged for the dance [SEP] a woman is dancing in a cage	2
131	a group of people is equipped with protective gear [SEP] a group of people is equipped with gear used for protection	0
132	a adult female is chopping up allium sativum [SEP] allium sativum is being diced by the adult female	0
133	two white dogs are running together [SEP] two black puppies are playing near a pool	2
134	a little girl is playing the piano [SEP] there is no little girl playing a grand piano on stage	2
135	two children are rolling in muddy water [SEP] two boys are laying in the water close to the beach	2
136	a dog is jumping in the air to catch a red ball [SEP] a dog is near the red ball in the air	2
137	a wet male child is jumping around on dirty and wet grass [SEP] there is no young male child covered in grass jumping near a wooden fence	2
138	a horse is running [SEP] a woman is cutting an onion	2
139	a large white dog is jumping in the air over an area covered by snow [SEP] a large white dog is jumping up in the snow	0
140	a brown duck with a green head is flapping its wings in the water [SEP] a bird is flapping its wings on the water	0
141	the man is intensely playing the guitar [SEP] the intense man is a guitar player	2
142	a adult female is cutting onions [SEP] there is no adult female cutting onions	1
143	a man is painting a womans face [SEP] the woman is putting makeup on the man	2
144	two toddlers are sleeping in a waggon which is really small [SEP] two toddlers are eating corndogs in a waggon which is really small	2
145	a woman is leaning on the ledge of a balcony [SEP] a man is leaning on the ledge of a balcony	2
146	one true cat is playing with a watermelon vine [SEP] the true cat is playing with a watermelon vine	0
147	a girl is tapping her fingernails [SEP] a male child is tapping his fingernails	2
148	a fish is being cut by a adult male [SEP] a adult male is cutting a fish	0
149	a woman is using an eye pencil and is applying eye liner to her eyelid [SEP] a woman is applying cosmetics to her eyelid	0
150	a boy is jumping off the side of a stone water fountain in front of a building [SEP] a boy in a striped shirt is playing in front of a water fountain	2
151	there is no adult male mixing [SEP] a adult male is mowing a lawn	2
152	a bicyclist is performing a trick over a heavily graphitized wall [SEP] a bicyclist is performing a trick over wall full of graffiti	0
153	a adult female is not slicing an octopus [SEP] a adult male is playing the guitar	2
154	a boy is sitting in a seat [SEP] a toddler is sitting down	2
155	a man is working on the computer [SEP] the man is feeding the snake with a mouse	2
156	the domestic dog is having a residue in the parkland [SEP] the domestic dog is having a residue in the living room	1
157	a dog is looking around [SEP] there is no dog looking around	1
158	people in costumes are sitting in the street [SEP] people in costumes are walking around in the street	2
159	the boy is playing in the mud [SEP] the boy isnt playing in the mud	1
160	a dog is turning on the grass and pursuing a flying tennis ball [SEP] a dog is turning on the grass and pursuing a flying ball	0
161	someone is scratching the belly of an animal [SEP] someone is scratching the back of an animal	2
162	the mortal in the blue jacket is wearing a colorful helmet [SEP] a mortal in a blue jacket is wearing a colorful helmet	0
163	a football player in a purple jersey is running with the ball for a touchdown [SEP] there is no football player in a purple jersey running with the ball for a touchdown	1
164	a group of people is walking down the street and a mortal in a green hat is on the telephone [SEP] four people are walking along a metropolis pavement and the one in the green hat is not talking on a cell telephone	2
165	two boys are doing martial arts on a green mat [SEP] two boys are doing martial arts on a blue mat	2
166	swimmers are racing in a lake [SEP] some racers are swimming in a lake	0
167	the motorcycle racer is riding a red and black bike [SEP] no motorcycle racer is riding a red and black bike	1
168	a grey dog is jumping toward a black and white dog in the soft snow [SEP] two poodles are in the snow and one is jumping high	2
169	the man in blue is posing for a picture next to a car [SEP] the woman in blue is posing for a picture next to a car	2
170	a man is playing the guitar [SEP] a woman is putting on lipstick	2
171	a woman is taking two eggs out of a pot of water [SEP] a man is playing a trumpet	2
172	a man is carelessly holding a frog [SEP] a man is carelessly dropping a frog	2
173	someone is putting ingredients into a wok [SEP] someone is not putting ingredients into a wok	1
174	two dogs are jumping through snowy grass and rocks [SEP] two large dogs a light colored one and a dark one are running through snowy terrain	2
175	the ice skating rink placed outdoors is full of people [SEP] an ice skating rink placed outdoors is full of people	0
176	a person is slicing garlic into pieces with a knife [SEP] someone is putting ingredients into a wok	2
177	a bird is resting its wings in the water [SEP] a bird is flapping its wings on the water	2
178	a large duck is flying over a rocky watercourse [SEP] a large duck is perching over a rocky watercourse	2
179	the brown horse is very near a red barrel at the rodeo [SEP] the brown horse is near a red barrel at the rodeo	0
180	a little male child in red dress is jumping into the air [SEP] there is no kid in a red outfit jumping on a trampoline	2
181	a mortal is performing a card fast one [SEP] a mortal is doing a fast one with some card game	0
182	two dogs are resting on the beach [SEP] two white dogs are running and jumping along a beach	2
183	a horse is being ridden in a brook by a adult male [SEP] a adult male is riding a horse	0
184	the adult male is denying an interview [SEP] a white car is being driven by the adult male	2
185	a flute is being played in a lovely way by a girl [SEP] a flute is being played by a girl	0
186	a man and two women in a darkened room are sitting at a table with candles [SEP] a man is abruptly falling off a horse on a track laid in the wild	2
187	the brown dog is running in the snow [SEP] a dog is running through the snow	0
188	a adult male and two women in a darkened room are sitting at a table with candles [SEP] the group of people is not sitting in a dim room	1
189	a man is cutting a rope with a sword [SEP] a man is tying a thick rope	2
190	a woman is wakeboarding on a lake [SEP] the woman is not waterskiing	1
191	the group of people is sitting on a ledge which is rocky and a scenic view is behind them [SEP] the group of people is sitting on a rocky ledge and a scenic view is behind them	0
192	a dog with a blue collar is playing with the ball in the garden [SEP] a grey dog is bouncing a soccer ball on its head in a grass field	2
193	a little boy is jumping into a puddle on the street [SEP] a young child is wearing boots made of green rubber and playing in a puddle full of mud	2
194	the adult female in a red costume is leaning against a brick wall and playing an instrument [SEP] the adult female in a red costume is not leaning against a brick wall and is not playing an instrument	1
195	a woman is slicing potatoes [SEP] a person is riding a horse	2
196	there is no large domestic dog running on the grass with a lawn tennis ball in its mouth [SEP] a large domestic dog is running on the grass with a lawn tennis ball in its mouth	1
197	a adult male is untying a shoe [SEP] a adult male is tying a shoe	2
198	a group of five young adults are lounging in the room [SEP] a small group of people are standing and two are sitting on the sofa	2
199	a adult male is sharpening a arm [SEP] a adult male is carrying a adult female	2
200	a dog with really long hair and a red vest is running in the grass [SEP] a dog with long hair and a red vest is running in the grass	0
201	the adult female is eating some cut pieces of raw meat [SEP] some meat is being cut into pieces by a adult female	2
202	a adult female is putting on eyeshadow [SEP] the adult female is putting make-up on	0
