premise,hypothesis,label,o_index
men are sawing logs,men are cutting wood,entailment,0
a man is passionately playing a guitar,a person is singing and playing a guitar,neutral,1
a man with no shirt is jumping over a log,a guy is leaping into the air in a wooded area,neutral,2
there is no one sitting in lawn chairs and reading books,two people in two chairs are reading,neutral,3
a man is cutting a potato,a man is cutting a tomato,neutral,4
a person is tearing paper,a person is tearing sheets,neutral,5
the men are playing association football,a adult male is riding a minibike,neutral,6
a adult female is frying something,a horse is being ridden by a adult female,neutral,7
two dogs are running and carrying a plaything in their mouths,two dogs are running and carrying an physical object in their mouths,entailment,8
a adult male is talking to the adult female who is seated beside him and is driving a car,a adult female is driving a car and is talking to the adult male who is seated beside her,entailment,9
the kids are wearing bathing suits and water is splashing around,the kids are not wearing suits and water is splashing around,contradiction,10
a basketball game participant is on the judicature floor and another one is grabbing the ball,a basketball game participant is on the judicature floor and the ball is being grabbed by another one,entailment,11
butter is being chopped into a container by a adult male,a adult male is chopping butter into a container,entailment,12
racers are running down a path,there are no racers running down a path,contradiction,13
a topless mortal with a back plurality is in front of a mound of rocks and clouds are in the background,a fully dressed mortal is behind a mound of rocks and a clear sky is in the background,neutral,14
there is no woman using an eye pencil and applying eye liner to her eyelid,a woman is using an eye pencil and is applying eye liner to her eyelid,contradiction,15
a mortal is pouring oil made with olives into a pot on the range,a mortal is pouring cooking oil into a pot,entailment,16
a adult male is pouring liquid into a pot,the chef is carefully pouring some oil into a cooking pan,neutral,17
the little girl is swinging and the adult female is standing behind her,a small kid is showing exhilaration on a swing set at the parkland,neutral,18
a brace of child are sticking out blue and green colored tongues,two young boys are wearing hats and sticking their colored tongues out,neutral,19
some liquid is being poured into a cooking pan by a adult male,a adult male is pouring liquid into a pot,entailment,20
a adult female is chopping up an octopus,a adult female is cutting an octopus,entailment,21
a black dog and a small white and black dog are looking up at a kitchen countertop,a large dog and a small dog are standing next to the kitchen counter and are investigating,entailment,22
one adult male is climbing a stone wall and another adult male is holding a rope,the men are not climbing a mount,neutral,23
a adult male is sitting on a railroad train and resting his hand against his human face,the bearded adult male is sitting on a railroad train,neutral,24
a adult female is beating two eggs in a bowl and using a whisk made of wire,one adult female is beating two eggs in the bowl and using a whisk made of wire,entailment,25
a domestic dog is not running towards a ball,a domestic dog is running towards a ball,contradiction,26
a girl in a uniform which is blue is raising her arm,the girl in the blue and white uniform is cheering,neutral,27
the girl likes red and isnt wearing string of beads for teenagers,a young lady with visible light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,neutral,28
a girl is playing a transverse flute,a girl is playing a air current instrument,entailment,29
the windows are being cleaned by a adult male,the adult male is driving a car,neutral,30
the adult male is driving a car,there is no window being cleaned by a adult male,neutral,31
there is no blond kid holding a yellow bottle,someone is playing the guitar,neutral,32
a adult male in a blue jump suit is failing to perform a wheelie on a bike,the adult male is doing a wheelie with a bike on earth which is mostly barren,neutral,33
two people in snowsuits are lying in the snow and making snow angels,two angels are making snow on the lying children,neutral,34
the girl is spraying the plants with water,the male child is spraying the plants with water,neutral,35
a girl dressed in purple and blue is slowly walking beside her bike at night,a girl dressed in purple and blue is walking beside her bike at night,entailment,36
the adult male is riding a horse by a brook,the adult male is riding a horse by a watercourse,entailment,37
a adult male is riding a horse,there is no adult male riding a horse,contradiction,38
two men are fighting in a moo-cow pastureland,two men are fighting in a cows pen,neutral,39
a adult male in a pose is being amusedly watched by another adult male,a adult male doing a pose is being watched by another adult male,entailment,40
a adult male is emptying a container made of plastic,a adult male is emptying a plastic container,entailment,41
a adult male and a adult female are not driving down the street in a landrover,a adult male and a adult female are driving down the route in an openair vehicle,neutral,42
the lady is peeling the tater,a adult female is not peeling a tater,contradiction,43
a adult male is chopping a log with an ax,there is no adult male chopping a log with an ax,contradiction,44
two women are standing together and one is looking through field glasses,two men are looking out and one is holding field glasses,neutral,45
a adult male is playing the guitar,a guitar is being played by a adult male,entailment,46
a association football ball is rolling into a end net,a association football participant is kicking a ball out of the end,neutral,47
a adult male is playing an electric guitar,a adult male is playing guitar,entailment,48
a girl is surrounding brown dressed children who are closing the eyes,a girl in a brown dress is being surrounded by children and is closing her eyes,neutral,49
a adult female in a black frock is pulling a cart and is standing in front of two men who are seated on a parkland bench,a adult female in a black frock is pulling a cart and is standing near two men who are seated on a parkland bench,entailment,50
the child of a family are playing and waiting,an asian adult male is dancing and three child are looking,neutral,51
there is no adult male playing a keyboard,a adult male is playing a keyboard,contradiction,52
an military officer is talking to the recruits,an military officer is listening to the recruits,neutral,53
a adult female is putting meat in a cooking pan,there is no adult female putting meat in a cooking pan,contradiction,54
a cat is playing on a moving ceiling fan,a cat is swinging on a fan,entailment,55
a group of people are walking,a group of people are dancing at a concert,neutral,56
there is no association football participant who is being tackled by an opposite,rugger players are tackling each other,neutral,57
a cyclist is holding a motorcycle over his head in a group of people,a bicyclist is being held over the heads of a group of people with the motorcycle,neutral,58
a adult male in a car is not pulling up beside a adult female who is walking along a route,a kid is walking down the street and a landrover is pulling up,neutral,59
a adult male is playing a guitar,there is no adult male singing and playing a guitar,neutral,60
a adult male is cutting a box,there is no adult male cutting a box,contradiction,61
a black true cat is swinging on a fan,a true cat is stuck on a moving ceiling fan,neutral,62
two daschunds are playing with a red ball,two dogs are playing with a small red ball,neutral,63
a mortal is buttering a tray,a mortal is spreading butter on a tray,entailment,64
a domestic dog is barking at a ball,a true cat is swimming after a lawn tennis ball,neutral,65
a group of kids is playing in a yard and an old man is standing in the background,a group of boys in a yard is playing and a man is standing in the background,neutral,66
two dogs are playing together on the grass,two dogs are resting together in the grass,neutral,67
there is no adult male eating a banana tree,someone is peeling a banana tree,neutral,68
two crocodiles are floating in a green colored swimming pool near some playing child,two child are pushing an inflatable crocodile in a pool,neutral,69
the adult male is slicing vegetables,a adult female is cutting a tater,neutral,70
the adult male in the straw hat is smoking a cigaret,a mortal is wearing a straw hat and smoking a cigaret,entailment,71
a officer is sitting on a bike,the bull is sitting on a police motorcycle,entailment,72
a black domestic dog on a lead is walking in the water,the domestic dog is on a lead and is walking in the water,entailment,73
the domestic dog is jumping in the shadiness of some trees,a domestic dog is jumping in the shadiness of some trees,entailment,74
a young male child is wearing a blue patterned swim suit of clothes a black and yellow swim cap and has blue swim goggles on her head,a young girl is wearing a blue patterned swim suit of clothes a black and yellow swim cap and has blue swimming goggles on her head,neutral,75
a adult male is cooking a serpent,the adult male is dropping sliced cucumbers into water,neutral,76
a adult female is talking on a telephonic device,two boys are talking on the telephone,neutral,77
the mortal is dicing up a black pepper which is orange,a cook is slicing some bell peppers,neutral,78
someone is drawing a person,the person is drawing,entailment,79
a mortal is scrubbing a courgette,the mortal is scrubbing a courgette,entailment,80
the military officer is barking at the recruits,the recruits are barking at the military officer,neutral,81
there is no domestic dog running with a volleyball game,a domestic dog is running with a volleyball game,contradiction,82
a bubble blew dyeing the girls shirt red,the young girl is blowing a bubble that is huge,neutral,83
a crowd which is large in warm clothing is posing for a photographic camera,two men a adult female and two young boys are standing in front of a large gathering of people outside a building,neutral,84
a adult female is riding a horse,a adult female is not riding a horse,contradiction,85
a adult male is making a address on a stump,a adult male is speaking on a stump,entailment,86
a concentrated adult female is playing transverse flute,a adult female is playing transverse flute,entailment,87
a cervid is standing inside a fence,the cervid is jumping over the fence,contradiction,88
the dark skinned male is standing on one hand in front of a yellow building,the dark skinned male is not standing on one hand in front of a yellow building,contradiction,89
a male child is filling a hurler with water,a hurler is being filled with water by a male child,entailment,90
there is no biker jumping in the air,a lone biker is jumping in the air,contradiction,91
a young boy is jumping out of the water,a young boy is jumping into water,contradiction,92
a nude lady is walking in front of a crowd in body paint,a topless girl is covered in paint,entailment,93
rollerbladers are rolling in formation down a hill,a group of rollerbladers is lining up on the street,neutral,94
the mortal is not standing on white water ice,the mortal is standing on white water ice,contradiction,95
a domestic dog is bouncing on a trampoline,a domestic dog is jumping on a trampoline,entailment,96
there is no puppy rolling,a puppy is repeatedly rolling from side to side on its back,contradiction,97
the black and white domestic dog is running and a mortal stands behind it,a little domestic dog is sprinting and the mortal who owns it is trying to catch it,neutral,98
a adult male is skiing down a snowy mount,a adult male is skiing down a snowy hill,neutral,99
the equipment in front of the blond dancing girl is sound,a girl in white is dancing,neutral,100
a young black kid is standing on the border of a organic structure of water near some buckets,a young black kid is waiting on the border of a organic structure of water near some buckets,entailment,101
a adult male is drinking orange juice and walking on a sunny solar day,there is no adult male drinking orange juice and walking on a sunny solar day,contradiction,102
the green field for horse races is completely full of jockeys,the jockeys are racing horses on the field which is completely green,entailment,103
a adult male is falling off a horse on a path and is laid in the natural state,the cowman is tossing the blue and red drawers towards the horse,neutral,104
someone is reading the e-mail,someone is not reading the e-mail,contradiction,105
a mortal is peeling a banana tree,a banana tree is being peeled by a mortal,entailment,106
the adult male is operating a stenograph,a adult male is typing on a machine used for tachygraphy,entailment,107
a adult male is outside and is throwing blades at a mark which is close,a adult male is outside and is throwing blades at a close mark,entailment,108
there is no water being drunk by a true cat,some water is being drunk by a true cat,contradiction,109
someone is on a black and white bike and is standing on the place,a bike is riding standing up on the place of the vehicle,neutral,110
a adult female is cracking some eggs outside a bowl,a adult female is adding ingredients to a bowl,neutral,111
a adult female is cutting a lemon,a adult female is cutting fruit,entailment,112
a plump faced male child is wearing shades,shades are being worn by a male child,entailment,113
a young boy in a helmet is riding a bike on the lawn,a young boy in a helmet is riding a bike on the road,neutral,114
there is no domestic dog playing with a red ball,two daschunds are playing with a red ball,contradiction,115
a young kid is climbing a stone climbing wall which is inside,a young child is climbing a stone climbing wall which is inside,entailment,116
a adult male is drilling a hole with a piece of wood,someone is drilling a hole in a strip of wood with a power drill,neutral,117
a adult female is taking off a cloak which is very large and revealing an extravagant frock,a black red white and pink frock is being worn by a adult female,neutral,118
two boys are laying in the ocean close to the beach,two boys are laying in the water close to the beach,entailment,119
the little male child is singing and playing the guitar,the little male child is not singing and playing the guitar,contradiction,120
a adult female is cooking shrimp,a adult female is boiling shrimps,neutral,121
two teams are playing association football,different football game players are teaming on a field,neutral,122
a adult male is spraying a super pelter into the mouth of a domestic dog,a adult male is squirting water into the mouth of a white domestic dog with a pip-squeak gun,neutral,123
a domestic dog is missing the ball in mid air,a domestic dog is catching a ball in mid air,contradiction,124
a adult female is deboning a fish,a big fish is catching a adult male,neutral,125
a small girl is getting out of a toy car,a child is sitting in a red and yellow toy car,neutral,126
a black true cat is swinging on a fan,a true cat is swinging on a fan,entailment,127
some men are sawing,men are sawing,entailment,128
a black and white domestic dog is carrying a small stick on the green grass,a black and white domestic dog is carrying a huge stick on the green grass,neutral,129
a adult female is being caged for the dance,a adult female is dancing in a coop,neutral,130
a group of people is equipped with protective cogwheel,a group of people is equipped with cogwheel used for protection,entailment,131
a adult female is chopping up allium sativum,allium sativum is being diced by the adult female,entailment,132
two white dogs are running together,two black puppies are playing near a pool,neutral,133
a little girl is playing the pianoforte,there is no little girl playing a grand pianoforte on phase,neutral,134
two child are rolling in muddy water,two boys are laying in the water close to the beach,neutral,135
a domestic dog is jumping in the air to catch a red ball,a domestic dog is near the red ball in the air,neutral,136
a wet male child is jumping around on dirty and wet grass,there is no young male child covered in grass jumping near a wooden fence,neutral,137
a horse is running,a woman is cutting an onion,neutral,138
