id,premise,hypothesis,label
4,The young boys are playing outdoors and the man is smiling nearby.,There is no boy playing outdoors and there is no man smiling.,contradiction
24,A person in a black jacket is doing tricks on a motorbike.,A skilled person is riding a bicycle on one wheel.,neutral
105,Four children are doing backbends in the gym.,Four girls are doing backbends and playing outdoors.,neutral
116,A player is throwing the ball.,Two teams are competing in a football match.,neutral
119,Five children are standing in front of a wooden hut.,Five children are standing in a wooden hut.,neutral
185,Few people are eating at red tables in a restaurant without lights.,A large group of Asian people is eating at a restaurant.,neutral
197,Someone is on a black and white motorcycle and is standing on the seat.,A motorcycle is riding standing up on the seat of the vehicle.,neutral
211,Two dogs are playing by a tree.,Two dogs are playing by a plant.,entailment
218,A girl in white is dancing.,A girl is wearing white clothes and is dancing.,entailment
219,There is no girl in white dancing.,A girl in white is dancing.,contradiction
225,The equipment in front of the blond dancing girl is sound.,A girl in white is dancing.,neutral
228,A girl in white is dancing.,The blond girl is dancing in front of the sound equipment.,neutral
236,The children of a family are playing and waiting.,An Asian man is dancing and three kids are looking.,neutral
253,A hiker is on top of the mountain and is doing a joyful dance.,A hiker is on top of the mountain and is dancing.,entailment
280,A boy is standing outside the water.,The boy is wading through the blue ocean.,neutral
285,A bald person is playing a guitar.,A person has blonde and flyaway hair and is playing a guitar.,neutral
304,"An old, topless woman is covered in paint.","A young, topless woman is covered in paint.",neutral
317,A group of children in uniforms is standing at a gate and there is no one kissing the mother.,A crowd of people is near the water.,neutral
382,A brown and white dog is running through the tall grass.,A brown and white dog is moving through the wild grass.,neutral
384,A white and tan dog is running through the tall and green grass.,A white and tan dog is running through a field.,entailment
394,A man is sitting near a bike and is writing a note.,A man is standing near a bike and is writing on a piece paper.,neutral
402,A group of scouts are hiking through the grass.,A group of explorers are walking through the grass.,neutral
417,Two men are taking a break from a trip on a snowy road.,Two men with cars are on the side of a snowy road.,neutral
450,A lady is surfing and riding a wave.,A blond girl is looking at the waves.,neutral
520,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike.",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.,neutral
526,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike.",A pedestrian woman is building pink bicycles for boa wearing riders.,neutral
530,A biker is wearing gear which is black.,A biker wearing black is breaking the gears.,neutral
592,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress.","A woman is putting on a cloak, which is very large, and concealing an extravagant dress.",contradiction
619,A boy is climbing up a wall artificially built for climbing and is attached to a rope.,"A little boy, who looks fearful, is on a climbing wall.",neutral
630,A man isn't tossing a kid into the swimming pool that is near the ocean.,The man is tossing a kid into the swimming pool that is near the ocean.,contradiction
647,One man is climbing a cliff with a rope.,A person with pink climbing gear roped the rock.,neutral
651,"A person is climbing a rock with a rope, which is pink.",One man is climbing a cliff with a rope.,neutral
687,One white dog is staring at the black street.,Two dogs of different breeds are looking at each other across a street.,neutral
698,A dog which is furry and black is in a back yard and is carrying a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket.",neutral
717,A few men in a competition are running outside.,A few men in a competition are running indoors.,contradiction
718,A few men in a competition are running outside.,A few men are running competitions outside.,neutral
765,The kid is happily sliding in the snow.,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees.,neutral
780,"A woman, who is old, is near a white dog.",A woman and a dog are sitting on a tree stump.,neutral
816,A group of people is equipped with protective gear.,A group of people is equipped with gear used for protection.,entailment
860,One white dog and one black one are running side by side on the grass.,"A dog, which has a black coat, and a white dog are running on the grass.",entailment
873,Not a lot of people are in an ice skating park.,An ice skating rink placed outdoors is full of people.,neutral
882,The girl in the blue and white uniform is cheering.,The girl is cheering the man in the blue and white uniform.,neutral
913,A woman is being kissed by a man.,There is no woman being kissed by a man.,contradiction
933,The girl in the red shirt is blowing a bubble.,The young girl is blowing a bubble that is huge.,neutral
947,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small.","Two toddlers are eating corndogs in a wagon, which is really small.",entailment
980,A man is getting on a horse on a track laid in the wild.,A horse is tossing the cowboy wearing pants of blue and red color.,neutral
987,An adult is in the amphitheater and is talking to a boy.,There is no adult in the amphitheater talking to a boy.,contradiction
988,A talk about an adult and a boy is given in the amphitheater.,An adult is in the amphitheater and is talking to a boy.,neutral
1039,The snowboarder isn't leaping over white snow.,A person who is practicing snowboarding jumps into the air.,neutral
1102,A woman is riding a horse.,A man is opening a small package that contains headphones.,neutral
1137,A fish is hunting for a turtle in the sea.,The turtle is following the fish.,neutral
1170,A potato is being sliced by a woman.,A woman is slicing a carrot.,neutral
1177,A woman is combing her hair.,A woman is arranging her hair.,neutral
1178,A woman is combing her hair.,There is no woman combing her hair.,contradiction
1190,A man and a woman are hiking through a wooded area.,A man and a woman are walking together through the woods.,entailment
1192,A man and a woman are walking together through the woods.,A man and a woman are walking through a wooded area.,entailment
1232,A man is slicing a bun.,A man is slicing a tomato.,neutral
1236,A woman is dancing and singing alone.,A woman is dancing and singing with other women.,contradiction
1237,Some women are dancing and singing.,A woman is dancing and singing in the rain.,neutral
1241,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,neutral
1266,A band is playing on a stage.,A band is playing onstage.,entailment
1302,A man is playing flute.,A man is playing a game with a ball.,neutral
1333,The woman is measuring the other woman.,A woman is being measured by another woman.,entailment
1390,A person is standing near a motorcycle.,A person is chopping an onion.,neutral
1396,A man is screaming.,A man is scared.,neutral
1400,A sad man is crying.,A man is screaming.,neutral
1410,A woman is cutting shrimps.,A man is chopping butter into a small container.,neutral
1412,Men are sawing logs.,Men are cutting wood.,entailment
1443,A man is talking on the radio.,A man is spitting.,neutral
1469,"Three young men are running, jumping and kicking near a vending machine.","There is no man running, jumping and kicking near a vending machine.",contradiction
1470,Three men are jumping off a wall.,"Three young men are furiously running, jumping and kicking near a vending machine.",neutral
1487,The man is not stirring the sauce for the chicken.,The man is stirring the sauce for the chicken.,contradiction
1493,A man is playing an electric guitar.,A man is playing guitar.,entailment
1495,A man is playing a guitar.,A man is strumming a guitar.,entailment
1503,Three boys in karate costumes aren't fighting.,Three boys in karate costumes are fighting.,contradiction
1506,Three men are practicing karate outdoors.,Three boys in karate costumes are fighting.,neutral
1525,A woman is planting some flowers.,A woman is cutting broccoli.,neutral
1584,A hole is being burrowed by the badger.,A badger is shrewdly digging the earth.,entailment
1608,A snake is being fed a mouse by a man.,No snake is being fed a mouse by a man.,contradiction
1628,Some ingredients are being mixed in a bowl by a person.,Some ingredients are being separated in a bowl by a person.,neutral
1676,A boat is sailing peacefully over the water.,The guitar is being played by the man.,neutral
1690,The milk is being drunk by a cat.,The cat is drinking some milk.,entailment
1703,A man is emptying a container made of plastic completely.,A man is emptying a container made of plastic.,entailment
1711,A man is emptying a container made of plastic.,A man is carelessly holding a frog.,neutral
1754,A flute is being played in a lovely way by a girl.,A flute is being played by a girl.,entailment
1807,The adult is playing the guitar loudly.,A flute is being played by a man.,neutral
1811,A man is playing the guitar loudly.,A flute isn't being played by a man.,neutral
1839,"The girl, who is little, is carefully combing her hair into a pony tail.","The girl, who is little, is combing her hair into a pony tail.",entailment
1847,One man is sitting on the chair.,"The girl, who is little, is ruffling her hair.",neutral
1861,The microphone in front of the talking parrot is being muted.,The parrot is talking into the microphone.,neutral
1877,The kittens on the trays are being eaten as food for an advertisement.,The food on the trays is being eaten by the kittens.,neutral
1881,The food on the trays is being eaten by the kittens.,A few kittens are eating.,entailment
1964,One person is playing the guitar and singing.,A person is playing a guitar and singing.,entailment
2001,The horse is being ridden by a man.,A man is riding the horse.,entailment
2019,A man is dangerously throwing knives at a tree.,Some dangerous men with knives are throwing a bike against a tree.,neutral
2058,A lady is cutting up some meat precisely.,Some meat is being cut into pieces by a woman.,entailment
2089,The man is denying an interview.,The man is granting an interview.,contradiction
2096,The man is granting an interview.,A man's white car is being driven away.,neutral
2130,A small boy is scolding a dog.,A small boy is playing with a dog.,neutral
2157,The picture of a camera set up is being taken by a man on the beach at the sunset.,A man is taking pictures of a lake.,neutral
2166,A woman is sewing with a machine.,A woman is using a machine made for sewing.,entailment
2221,Someone is falling off a horse.,The man is not knocked off of a horse.,neutral
2229,A woman is tapping her fingers on a table.,A woman is resting her fingers on a table.,neutral
2231,A woman is tapping her fingers.,A woman is resting her fingers on a table.,neutral
2284,The cat is playing passionately with a watermelon.,The cat is playing with a watermelon.,entailment
2286,The cat is playing passionately with a watermelon.,A cat is playing with a watermelon.,entailment
2362,A person is burning some cameras with a blow torch.,The tall person is setting fire to the cameras.,neutral
2364,Some cameras are being burned by a person with a blow torch.,The person is setting fire to the cameras.,entailment
2366,A person by some cameras is blowing on a burning torch.,The person is setting fire to the cameras.,neutral
2385,A person is cutting an onion into pieces.,A person is slicing a carrot into pieces.,neutral
2392,The man is not slicing the potato.,The man is slicing a potato.,contradiction
2402,Someone is cutting a tomato.,The woman is holding a whole tomato.,neutral
2404,The lady is slicing a tomato.,There is no one cutting a tomato.,contradiction
2405,The lady is slicing a tomato.,Someone is cutting a tomato.,entailment
2410,A man is preparing some dish.,An onion is being sliced with a knife by the woman.,neutral
2430,One man is running down the road.,A man is running.,entailment
2476,Some people are singing.,A group of people is singing.,entailment
2485,The man is playing a guitar.,A man is playing a trumpet.,neutral
2525,A few people are floating on a raft.,People are riding and paddling a raft.,neutral
2527,People are riding and paddling a raft.,Four people are floating on a raft.,neutral
2535,There is no cat eating corn on the cob.,A cat is eating some corn.,neutral
2544,The person is slicing a vegetable.,Nobody is slicing a tomato.,neutral
2557,Someone is strumming the guitar.,Someone is playing the guitar.,entailment
2566,Three women are dancing.,A few women are dancing.,entailment
2604,A bull dog is being brushed by the monkey.,The monkey is brushing a bull dog.,entailment
2606,The monkey is brushing a bull dog.,A bull dog is brushing the monkey.,neutral
2662,The lady isn't cracking an egg for the mixer.,The lady is slicing up the meat.,neutral
2668,A few ferrets are climbing out of the cage.,Ferrets are climbing down from a shelf.,neutral
2678,A man is hurriedly getting into a car in a garage.,A man is getting into a car.,entailment
2679,A man is parking a car in a garage.,A man is getting into a car.,neutral
2687,The person is slicing a clove of garlic into pieces.,The person is not slicing a clove of garlic into pieces.,contradiction
2704,Noodles are being boiled in water by a woman.,A woman is boiling noodles in water.,entailment
2712,There is no karate practitioner kicking at another man who is wearing protective boxing gloves.,A karate practitioner is kicking at another man who is wearing protective boxing gloves.,contradiction
2720,The man is kick boxing with a trainer.,There is no karate practitioner kicking at another man who is wearing protective boxing gloves.,neutral
2721,The man is kick boxing with a trainer.,A karate practitioner is kicking at another man who is wearing protective boxing gloves.,neutral
2722,"A woman, who is seated, is singing a song and playing the guitar.",A seated woman is singing a song and playing the guitar.,entailment
2726,A woman on a rock is lying on a blanket and reading a book.,A woman is rocking over a blanket lying on someone reading a book.,neutral
2738,The woman is not playing an electric guitar.,A man is playing an acoustic guitar.,neutral
2766,A man and woman are talking.,A man and a woman are eating happily.,neutral
2772,A person is pouring oil for cooking into a pot.,A person is pouring cooking oil into a pot.,entailment
2791,"A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor.",A small guinea pig is gnawing and eating a piece of carrot on the floor.,entailment
2795,A small guinea pig is gnawing and eating a piece of carrot on the floor.,A guinea pig is devouring a carrot.,entailment
2812,A plane is landing.,An animated airplane is taking off.,neutral
2822,A woman is taking a mixture out of a bowl.,A woman is preparing an egg in a skillet.,neutral
2829,The lady is penciling on eyeshadow.,The woman is penciling on eyeshadow.,entailment
2842,A little girl is playing a grand piano on stage.,A girl is practicing the piano.,neutral
2886,A woman is playing a flute.,The woman is not playing the flute.,contradiction
2898,The man is lifting barbells.,The man is lifting weights.,entailment
2911,A woman is putting on makeup.,There is no woman putting on makeup.,contradiction
2932,The woman is cutting a carrot.,An onion is being sliced by a woman.,neutral
2936,Two men are fighting in a cattle pen.,Two men are outside a cattle pen.,neutral
2965,A big green ball is missing a potato.,A big green ball is knocking a potato.,neutral
2967,A large green ball is hitting a potato.,A large green colored ball is hitting a potato.,entailment
