premise,hypothesis,label
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,entailment
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside.,neutral
A busy city that looks like New York City.,"The city looks like Lawrence, Kansas.",contradiction
A blond woman with two children is checking out at a Walmart register.,A mother is with her two children at Walmart buying food,neutral
Two people pose for the camera.,People pose for a family picture.,neutral
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,The woman is wearing blue.,contradiction
Two older men are talking.,Two people are having a conversation.,entailment
A foreign family is walking along a dirt path next to the water.,A family of foreigners swims in the water.,contradiction
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is dragging a sled behind him.,neutral
People waiting at a light on bikes.,People with bikes.,entailment
Women exercising one woman has a green mat and black outfit on.,The women are both dressing in green.,contradiction
A little boy swims underwater.,A child swimming.,entailment
Two dogs biting another dog in a field.,dogs attacking another dog,entailment
Soccer teams play on a field as the sun sets behind a line of trees.,Soccer teams are competing outdoors.,entailment
New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.,entailment
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,entailment
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their cart.,neutral
An adult couple enjoys time in a hot tub.,A couple is in a hot tub outside.,neutral
A mountain biker jumping a slope outdoors in a forest area.,He's indoors,contradiction
"Two elderly men having a conversation, snow covered grass in the background.",The men are sleeping,contradiction
Three small puppies bite and play together in the grass.,Three puppies are playing outside.,entailment
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A woman is shown a tablet by a man standing on the street.,entailment
Firemen emerge from a subway station.,The firemen are not working,neutral
A young woman tries to stick her foot in a fountain.,A woman is near a fountain.,entailment
A model posing to look as if she's a real female soccer player.,A man is modeling for a cooking show.,contradiction
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt,contradiction
A meeting of young people sitting at a conference table.,young people are gathered around a table,entailment
A mountain biker jumping a slope outdoors in a forest area.,A person is trying to learn new tricks on their bike.,neutral
A man wearing black is playing an electric guitar at a concert.,A man is playing the guitar.,entailment
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A woman shows a cell phone to a person standing nearby.,contradiction
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are scultupres nearby.,entailment
Woman at Walmart check-out having her groceries bagged by an employee.,A woman is in Walmart,entailment
A meeting of young people sitting at a conference table.,young people are learning about politics,neutral
Two tan and white dogs and one tan dog racing down the beach near the water.,three dogs are outside,entailment
A baby is playing with a strand of beads.,The baby is playing.,entailment
Cheerleaders are on the field cheering.,The football player killed the cheerleader with his bullet pass.,contradiction
A small girl with a necklace is swimming.,A fat girl is diving off the edge,contradiction
A baseball player is putting all his might in to throwing a ball.,Player is giving the ball away,neutral
A man in a blue shirt sits outside alone with a chessboard laid out in front of him.,A man in a blue shirt sitting outside behind a large wooden chessboard.,neutral
A man sitting in a barber shop.,There is an individual waiting indoors.,entailment
"Two children in hats play in an open, rocky field.",The children are at home eating lunch.,contradiction
Cheerleaders are on the field cheering.,Some football players are practicing a running play.,contradiction
Motorcyclist performing while two men watch.,Men watching motorcyclist.,entailment
A baby is playing with a strand of beads.,The baby is sleeping.,contradiction
A doctor checks the stomach of a toddler.,The doctor is looking inside the toddler's mouth.,contradiction
"One man sits inside and plays the banjo, there are trees behind him outside.",A man runs outside.,contradiction
