premise,hypothesis,label
You have the right -- and I think judges respect that.,"You have the right, and judges honor that.",entailment
Tuppence ordered tea and buttered toast.,Tuppence was very hungry so she ordered food. ,neutral
i it's this problem with being in school you know they just moved and they took their strawberries that they had out in their yard and put them all in containers and they're going to decide what they're going to do with them i think but they're going to let them bloom this year in the containers,They took the strawberries from the yard and put them in containers for now.,entailment
"For his knowledge of seafaring, he was given the title anjin ( pilot ).",The title of anjin is a difficult one to achieve and one must have significant knowledge.,neutral
"T. Temple Tuttle, an ethnomusicologist at Cleveland State University, feels the holes conform to a number of scales, including the South Indian system.","In the South Indian system, holes are unrelated to scales.",contradiction
This end-of-the-road village is famed for its skilled and dauntless fishermen.,The village is famous for their fisherman.,entailment
and i think clothing you know it it just uh it it does like you were saying the the way you dress makes you feel different ways um if you like when you go out at night uh you may just want to have a casual evening or something so you you sort of dress down but if you're going to a uh,I think men wear a lot of clothing.,neutral
But it is oddly disrespectful--like arguing that the rough draft of The Great Gatsby was better than the novel F. Scott Fitzgerald published.,It is not typically as disrespectful as it currently is.,neutral
But he was sure the language he somehow spoke wasn't an ancient one.,But we was sure the language he spoke was modern.,entailment
"While this approach has led to great strides in under-standing how treatment works, it may not be practical in the real-world setting of the emergency department and may generate studies with little external validity.",The approach may generate studies with excellent external validity,contradiction
Christopher Cox of California led the push for an alternative,Cox initiated the idea of an alternative.,neutral
There is little point in funding research on interventions that are unlikely to be implemented.,There is much reason to fund research on intervention that will not see any real life application.,contradiction
Woven cotton and linen are also a good buy.,Cotton and linen are super cheap there and are amazing quality.,neutral
Seconds passed while he interpreted his strange surroundings.,He didn't take time to interpret his surroundings.,contradiction
"Inaccessible except for a tunnel carved through 15 metres (50 feet) of solid rock, Guadalest was never conquered, though James I of Aragon took it by siege during the 13th-century Reconquest.",Henry V captured it in a seige in 1433.,contradiction
One person perhaps.,Two people at least.,contradiction
"The strangest of the cathedral's treasures is contained in an urn here the heart of Alfonso the Wise, bequeathed to Murcia by the 13th-century king long before his death.",The cathedral has a total of 2 dozen treasures altogether.,neutral
"Under this simulation, annual federal surpluses, which peak at 5 percent of GDP, would last longer than ever before in the nation's history and the government would hold nonfederal financial assets for over 50 years.",The mock up shows that federal financial surpluses would maintain its apex of 5 percent for a more sustained amount of time.,entailment
"Women respond to more stressors than men do, but their blood pressure spikes less in reaction.",Men resond to stress worse than women. ,contradiction
"For example, it recommended an increase in analyses targeted at medical supplies and durable medical equipment and at providers who bill higher cost procedure codes to maximize their reimbursement.",There should be more analyses of providers.,entailment
" If you can't get into the golf club scene, then why not try miniature golf in Sant Antoni, Santa Eul? ria, or Portinatx on Ibiza, and at Club La Mola on quieter Formentera?",Nobody has even heard of miniature golf at Portinatx on Ibiza.,contradiction
I guess I was like that.,I'm not fully convinced that I was like that.,entailment
"If however they are employed similar to those who are on active duty or are actually on active duty, then the controls in the subsection Active Military Personnel are operative and should be used.",The controls provided in the Active Military Personnel's subsection should be used if they are on active duty.,entailment
Good.' Natalia glared.,Natalia smiled.,contradiction
The Title V operating permit must also be made available for public comment and is not made final until compliance testing on the control device is completed.,The Title V operating permit does not need to have compliance testing done on the control device before it can be released to the public for comment.,contradiction
"Sometimes enshrined in the Chapel of the Holy Shroud (Cappella della Santa Sindone), it was brought to Turin in the 17th century after a journey 200 years earlier from Jerusalem to France via Cyprus.",It has not traveled in over four hundred years.,contradiction
"Dance is also staged at ZOA House, Daniel Frisch Street.",Dancing is the most popular activity at ZOA House.,neutral
Rodriguez appeared to be in his 50s.,Rodriguez had grey hair.,neutral
"Kristine, this is like a parent being asked to name a favorite child.",This is nothing like a parent being asked to name a favorite child.,contradiction
"The Project Arts Centre in East Essex Street has a lively program of dance, drama, and performance arts.",The Project Arts Centre was established quite recently. ,neutral
The big one stepped up behind him and roughly wrapped an arm around the merchant's throat.,"The large one stumbled and fell into the merchant, taking him by surprise.",contradiction
"Fried chicken, fried chicken, fried chicken.",A triple order of friend chicken.,entailment
A timely expenditure of tax revenues might just work wonders.,A timely expenditure won't make much of a difference at all.,contradiction
Amatter that bears  how closely the language and dynamics of hype come to resemble those of arms control.,Arms control is very complicated.,neutral
yeah yeah yeah it's just not it just doesn't seem right,It doesn't seem right to arrest someone for drugs.,neutral
"There are more books, I see. He stepped to the side of the overturned table, gathered the other two volumes, and placed them together in a neat pile on the bar.",There is a pile of books on the bar that he will read later on.,neutral
" Before Dave could ask what he was to stop, Nema came rushing into the room.",Nema was nowhere to be seen as Dave asked what he was supposed to prevent.,contradiction
"The Polonian tribe, which settled the area that today is western Poland around Poznan, provided the foundations for the development of a Polish language and nation.",the Polonian tribe settled in the are around Cracow.,contradiction
"4 million, which will be divvied up nationwide.",4 million will be divided nationwide.,entailment
and uh if i do have to approach the uh the controller or the vice president i feel i just have that little little extra confidence in myself being dressed that way,"When dressed that way, I am more confident when I have to approach the controller or the vice president. ",entailment
yep i don't know so do you think uh you think Vegas is going to win the finals then,Do you think UNLV will make it to the finals?,neutral
sacrifice that that would be to suddenly try to switch over to all CDs or something but i know one thing that has colored my music choice is,It not bug me at all to just listen to CDs.,contradiction
now and i have two children also  so that it keeps me very busy but i really enjoy it when i do do it when i get the chance you know it's really,My children tend to act out when I take time away from them.,neutral
"But Micah Sifry, who is writing a book on third parties, tells me that Gargan isn't simply a Ventura shill.",Micah Sifry is writing a book on third parties.,entailment
Bernstein suggested that the supporting text for this recommendation would have to explain the need for political commitment to changing the health and social outcomes resulting from alcohol problems.,Political commitment to health and social outcomes is dependent on projected election results.,neutral
"In the meantime, Albright had promoted the United Nations' disastrous Safe Havens policy, which placed masses of unarmed Bosnian civilians under the protection of minuscule numbers of U.N. (but no U.S.) troops--that is, left them at the mercy of Serb paramilitaries, who systematically set about driving them from their homes and killing them.",The UN could not afford to send more troops to protect the Bosnians.,neutral
Supposing Mr. Brown Julius was there waiting… .,Assuming Mr. Brown Julius was ahead of us...,neutral
"Today there is an independent Scottish parliament, a Welsh assembly, and a self-governing Northern Ireland.",The Scottish parliament is self governed since they staged a revolution.,neutral
"BOISE, Idaho (AP) - Victims of domestic violence will have access to quality legal representation through a campaign undertaken by Idaho Supreme Court Chief Justice Linda Copple Trout and corporate leaders.",Victims of animal attacks with now have quality representation by those specializing in bird law.,contradiction
"Among other features, it allows even the smallest standard computer screen to display the entire contents of an issue of Slate without scrolling.",Slate's programming allows even small screens to display the whole issue at once without the need to scroll. ,entailment
It's enough to make you turn to drink.,"It was unlikely that, that could make you turn to drinking.",contradiction
"The past year saw the creation of many projects, the maturation of several young initiatives and the opportunity to take existing efforts to new levels.",Too many projects were created over the last year. ,neutral
"If the Postal Service makes all feasible changes and the markets are found not to be contestable, it will be because the economies of scale and joint production, and the advantages of being an incumbent,10 are larger than any disadvantages associated with the levels of productivity or wages.",The markets will not necessarily be affected by the changes.,entailment
Jon approached the big man.,Jon ran away in fear for his life.,contradiction
Program Letter 2000-7 was sent to the field at the end of 2000 calling on each state to evaluate and report on their state planning progress.,Every state has to report on their state planning progress.,entailment
7 discusses federal policies aimed at encouraging private saving.,Federal policies that encourage individuals to save are actually focused on saving money on Social Security.,neutral
He said it is easier to change a field from within than from the outside.,"According to him, the difficulty of changing a field from the inside or outside is identical. ",contradiction
and so he we have a lot of family here his side of the family and being when we were down in Houston we were isolated i mean it's not that far but people would have we didn't have anyone in town that was our family and although we had really good friends and and we had church and school support and things um,The rest of the family lives out of state.,neutral
"He has 1,008 names in Sanskrit literature.",He hardly has any name in Sanskrit Literature. ,contradiction
The net effect on the U.S.,There was no effect.,contradiction
"Leaders are held accountable for progress in meeting goals that ensure our programs and state justice communities are diverse throughout, maintaining a glittering mosaic.",Our diversity goals were updated last year.,neutral
"Through the western Seishomon Gate is the Shishinden ceremonial hall, where emperors are enthroned a privilege retained by Kyoto after the move to Tokyo and where New Year's audiences are held.",The gate is ornate and leads to all of the important buildings.,neutral
'Just the three of us.' I was already running for the front of the train.,"'Just the five of us."" ",contradiction
uh-huh i believe it,It is the truth.,neutral
"Pretty soon there won't be no need for wearin' guns loose an' tryin' to grow eyes in th' back of yore skull!""But Fenner's own rifle still rode on guard across his knees, and Drew noted that the scout never broke a searching survey of the countryside.",Soon there will be no need to wear cowboy boots.,contradiction
"He thought they bloomed for just the right length of time, smartly disappearing before you can tire of them.",He thought they bloomed for the right length of time. ,entailment
"On the other hand, while Armenian groups struggle for official notice, they are not yet requesting official apologies.",Armenian groups are not requesting official apologies yet. ,entailment
Near it you'll find relief for weary several camel drivers often wait around the mosque entrance and will be glad to order their huge beasts to kneel so that you can climb aboard.,You can take a ride on a camel so ask the camel drivers near the entry to the mosque.,entailment
and so most of the people are wealthy and and they don't have some most of their basic needs for for food and shelter and clothing are met so they don't have any,All basic needs are met in the region.,contradiction
Professors Per Krusell and Anthony Smith point out that Laibson's theory makes some surprising predictions about the way people save.,Professor Anthony Smith believes that Laibson's theory predicts saving habits among people.,entailment
"Most have lifeguards on duty from April to October, changing rooms, toilets, and snack stands.",Lifeguards are needed only during January.,contradiction
Poirot bundled everything out on the floor with scant ceremony. ,Poirot dumped everything on the floor without care.,contradiction
i can't i i again i can't make any predictions about them but i suspect they'll go uh they'll go far,They are playing for first place next week.,neutral
The fee increase is expected to generate $2.,The fee is to be reduced by 150%.,contradiction
"Tunku Abdul Rahman, the first prime minister, reversed his party's anti-Chinese policy by offering Singapore a place in the Federation.","Singapore was flattered, but felt too arrogant to join.",neutral
"I always knew it."" 9 ""Rot!"" said Tommy hastily.",Tommy was always aware of the situation.,entailment
that type of thing and that didn't work but but somebody told me that they were charging as much for it as they did for straw which is why they couldn't sell it you know because the farmers would buy the straw if it's a you know similar price,"Most farmers preferred using straw anyways, since it is natural.",neutral
"In fact, the fountain was completed several years before Borromini's splendid and structurally impeccable facade and dome.",The fountain was simple in comparison to the splendor of the dome.,neutral
LSC is very concerned about the law school debt burden that graduates carry.,LSC isn't worried at all about debts,contradiction
"More specifically, the full cost of an output produced by a responsibility segment is the sum of (1) the costs of resources consumed by the responsibility segment that directly or indirectly contribute to the output, and (2) the costs of identifiable supporting services provided by other responsibility segments within the reporting entity and by other reporting entities.",The full cost of output is dependent upon at least two sources of costs.,neutral
Advances in one specialty do not necessarily affect the practice of another.,The practices do not necessarily affect one another.,entailment
that really scared i guess i that that a little more than scared me that irritated me uh that because it if if it it surely didn't come as a surprise that that if the door came open the lady would fall out i mean and,She wouldn't have fallen out if they didn't open the door. ,neutral
there was a thing in our we have a little Lewisville paper that just comes out twice a week and there was a thing in there just this week saying that in all of Denton County Lewisville had the highest crime rate of all of Denton it,Our news paper is printed each morning.,contradiction
"Directory of statewide programs that includes information such as number of employees, number of offices, amount/percentage/type of funding, level of tech usage, types of services, collaborations/partnerships, etc. that would allow us to look for a comparable program to brainstorm a particular issue;","The directory of statewide programs is large, and has over 500 listings in the directory. ",neutral
yeah uh well they say your metabolism slows with uh six percent with every ten years of your life or something like that,They say that your metabolism gets slower as you get older.,entailment
"Membership imposes an obligation to maintain standards of both quality and service, and provides dissatisfied customers with an officially recognized channel for redressing complaints; the number to call is Tel. 2508 1234.",Customers have to call during normal working hours.,neutral
because there are just too many bills,I can't save any money because there are just too many bills.,neutral
"Most saw this week's conference as another rhetorical masterpiece in his career of gems, but a few pundits thought the president looked angry and nervous.",The president had a conference this week.,entailment
Initially the Fringe consisted of several small theater companies that were not included in the official festival program but nevertheless decided to hold performances on the same dates.,Initially the Fringe consisted of little known rock bands playing at the festival.,contradiction
so i don't know it upsets me a little bit i like bears they're pretty they're pretty cool,I think bears are the worst animals.,contradiction
if i have something in mind then he he remembers that that's what he wants to do,There are some things that he wants to do. ,entailment
